Codigo,Nome,Indice,Total,Até cinco minutos,De seis minutos até meia hora,Mais de meia hora até uma hora,Mais de uma hora até duas horas,Mais de duas horas
1100015,Alta Floresta D'Oeste,0.925127986,4688,1566,2483,288,203,148
1100023,Ariquemes,0.981896161,24249,4526,17826,1458,261,178
1100031,Cabixi,0.974231913,1009,616,303,64,20,6
1100049,Cacoal,0.971638121,23588,5329,15708,1882,463,206
1100056,Cerejeiras,0.977854805,5193,1827,2938,313,97,18
1100064,Colorado do Oeste,0.978098894,4429,1313,2718,301,85,12
1100072,Corumbiara,0.990089197,1009,518,459,22,5,5
1100080,Costa Marques,0.969237435,2308,799,1275,163,44,27
1100098,Espigão D'Oeste,0.945358877,7412,2327,4396,284,186,219
1100106,Guajará-Mirim,0.984948166,10032,2195,7095,591,79,72
1100114,Jaru,0.993969932,12106,2638,8729,666,44,29
1100122,Ji-Paraná,0.97602017,36489,7379,25257,2978,430,445
1100130,Machadinho D'Oeste,0.964505614,5522,1651,3316,359,140,56
1100148,Nova Brasilândia D'Oeste,0.977445901,3281,1297,1671,239,27,47
1100155,Ouro Preto do Oeste,0.978585202,9853,2657,6259,726,123,88
1100189,Pimenta Bueno,0.984030351,11334,2717,7854,582,107,74
1100205,Porto Velho,0.924159442,136576,12606,82924,30688,7973,2385
1100254,Presidente Médici,0.953296089,4475,1266,2756,244,145,64
1100262,Rio Crespo,0.98364486,428,281,106,34,3,4
1100288,Rolim de Moura,0.984235418,15224,3505,10312,1167,203,37
1100296,Santa Luzia D'Oeste,0.96875,1536,515,848,125,34,14
1100304,Vilhena,0.98771228,24496,4817,17996,1382,196,105
1100320,São Miguel do Guaporé,0.985696122,3146,1002,1901,198,24,21
1100338,Nova Mamoré,0.96670461,3514,1340,1848,209,56,61
1100346,Alvorada D'Oeste,0.962136777,3407,1215,1722,341,106,23
1100379,Alto Alegre dos Parecis,0.954793453,1283,482,575,168,44,14
1100403,Alto Paraíso,0.973663826,2582,672,1656,186,53,15
1100452,Buritis,0.958163446,5641,1812,3338,255,39,197
1100502,Novo Horizonte do Oeste,0.990610329,639,397,192,44,0,6
1100601,Cacaulândia,0.985148515,808,307,447,42,9,3
1100700,Campo Novo de Rondônia,0.982441472,1196,540,600,35,21,0
1100809,Candeias do Jamari,0.926653126,4431,731,2289,1086,269,56
1100908,Castanheiras,0.97027027,370,195,137,27,11,0
1100924,Chupinguaia,0.975425331,1587,394,1045,109,29,10
1100940,Cujubim,0.960288809,3878,1031,2490,203,89,65
1101005,Governador Jorge Teixeira,0.96516129,775,287,395,66,12,15
1101104,Itapuã do Oeste,0.970149254,1608,552,888,120,30,18
1101203,Ministro Andreazza,0.98476605,919,309,556,40,0,14
1101302,Mirante da Serra,0.991920152,2104,623,1312,152,17,0
1101401,Monte Negro,0.992219492,2442,344,1949,130,19,0
1101435,Nova União,0.942647059,680,333,278,30,17,22
1101450,Parecis,0.982278481,395,137,229,22,7,0
1101468,Pimenteiras do Oeste,0.984575835,389,182,173,28,4,2
1101476,Primavera de Rondônia,0.975871314,373,197,114,53,9,0
1101484,São Felipe D'Oeste,0.99122807,570,270,243,52,3,2
1101492,São Francisco do Guaporé,0.981457385,3074,884,1961,172,36,21
1101500,Seringueiras,0.996326905,1089,468,561,56,0,4
1101559,Teixeirópolis,0.99339934,606,331,253,18,4,0
1101609,Theobroma,0.937352246,846,259,468,66,45,8
1101708,Urupá,0.985507246,1794,607,1030,131,26,0
1101757,Vale do Anari,0.98820556,1187,434,675,64,11,3
1101807,Vale do Paraíso,0.952279958,943,453,343,102,17,28
1200013,Acrelândia,0.968474149,1586,287,1129,120,27,23
1200054,Assis Brasil,0.964316058,1177,495,547,93,27,15
1200104,Brasiléia,0.976412347,3434,1004,2047,302,49,32
1200138,Bujari,0.961361546,1087,199,657,189,33,9
1200179,Capixaba,0.987470634,1277,525,679,57,5,11
1200203,Cruzeiro do Sul,0.975717005,15237,3036,10404,1427,180,190
1200252,Epitaciolândia,0.990554156,3176,686,2166,294,21,9
1200302,Feijó,0.948591345,3443,1001,2081,184,155,22
1200328,Jordão,0.985849057,636,172,412,43,9,0
1200336,Mâncio Lima,0.976339286,2240,470,1501,216,39,14
1200344,Manoel Urbano,0.962287105,1644,490,999,93,42,20
1200351,Marechal Thaumaturgo,0.989215686,1020,382,596,31,6,5
1200385,Plácido de Castro,0.966911765,2448,660,1576,131,58,23
1200393,Porto Walter,0.929451288,893,248,506,76,29,34
1200401,Rio Branco,0.953104642,95937,9031,62690,19717,3885,614
1200427,Rodrigues Alves,0.92032967,728,209,383,78,15,43
1200435,Santa Rosa do Purus,0.975452196,774,298,375,82,18,1
