Codigo,Nome,Indice,Total,Existe,Não existe,Sem declaração
1100015,Alta Floresta D'Oeste (RO),0.3525,13804,4866,8488,450
1100023,Ariquemes (RO),0.3292,69068,22736,46212,120
1100031,Cabixi (RO),0.0126,2689,34,2632,23
1100049,Cacoal (RO),0.8657,61699,53413,8131,155
1100056,Cerejeiras (RO),0.3556,13755,4891,8864,0
1100064,Colorado do Oeste (RO),0.1064,13404,1426,11959,19
1100072,Corumbiara (RO),0.5698,2559,1458,1101,0
1100080,Costa Marques (RO),0.4397,7366,3239,4127,0
1100098,Espigão D'Oeste (RO),0.5944,19649,11680,7905,64
1100106,Guajará-Mirim (RO),0.1378,34686,4781,29902,3
1100114,Jaru (RO),0.3657,38030,13909,23943,178
1100122,Ji-Paraná (RO),0.1712,96860,16583,79960,317
1100130,Machadinho D'Oeste (RO),0.1001,14825,1484,13335,6
1100148,Nova Brasilândia D'Oeste (RO),0.1650,8243,1360,6883,0
1100155,Ouro Preto do Oeste (RO),0.8056,27980,22542,5438,0
1100189,Pimenta Bueno (RO),0.8179,29200,23882,5289,29
1100205,Porto Velho (RO),0.3942,387189,152635,233450,1104
1100254,Presidente Médici (RO),0.1860,13228,2460,10768,0
1100262,Rio Crespo (RO),0.3261,1064,347,717,0
1100288,Rolim de Moura (RO),0.6460,41063,26525,14430,108
1100296,Santa Luzia D'Oeste (RO),0.1022,2984,305,2679,0
1100304,Vilhena (RO),0.2968,64322,19092,45004,226
1100320,São Miguel do Guaporé (RO),0.5795,8392,4863,3357,172
1100338,Nova Mamoré (RO),0.0291,13688,399,13212,77
1100346,Alvorada D'Oeste (RO),0.1334,8763,1169,7594,0
1100379,Alto Alegre dos Parecis (RO),0.3605,3628,1308,2271,49
1100403,Alto Paraíso (RO),0.1540,3299,508,2776,15
1100452,Buritis (RO),0.0665,20932,1391,19518,23
1100502,Novo Horizonte do Oeste (RO),0.2872,1727,496,1214,17
1100601,Cacaulândia (RO),0.2087,2060,430,1624,6
1100700,Campo Novo de Rondônia (RO),0.1633,3349,547,2802,0
1100809,Candeias do Jamari (RO),0.7235,14645,10596,3901,148
1100908,Castanheiras (RO),0.4760,834,397,437,0
1100924,Chupinguaia (RO),0.7166,3603,2582,994,27
1100940,Cujubim (RO),0.0309,10968,339,10623,6
1101005,Governador Jorge Teixeira (RO),0.2772,2356,653,1674,29
1101104,Itapuã do Oeste (RO),0.0000,5139,0,4690,449
1101203,Ministro Andreazza (RO),0.8698,3072,2672,400,0
1101302,Mirante da Serra (RO),0.7955,6444,5126,1318,0
1101401,Monte Negro (RO),0.1541,7335,1130,3621,2584
1101435,Nova União (RO),0.0936,1538,144,1394,0
1101450,Parecis (RO),0.6060,1759,1066,693,0
1101468,Pimenteiras do Oeste (RO),0.1588,1266,201,1065,0
1101476,Primavera de Rondônia (RO),0.8354,1270,1061,200,9
1101484,São Felipe D'Oeste (RO),0.3726,1436,535,683,218
1101492,São Francisco do Guaporé (RO),0.2628,8201,2155,6046,0
1101500,Seringueiras (RO),0.6791,4388,2980,1277,131
1101559,Teixeirópolis (RO),0.1356,1416,192,1224,0
1101609,Theobroma (RO),0.2776,1960,544,1416,0
1101708,Urupá (RO),0.3036,5102,1549,3553,0
1101757,Vale do Anari (RO),0.2929,3192,935,2257,0
1101807,Vale do Paraíso (RO),0.2990,2274,680,1594,0
1200013,Acrelândia (AC),0.1105,5902,652,5222,28
1200054,Assis Brasil (AC),0.2671,3651,975,2676,0
1200104,Brasiléia (AC),0.7141,13741,9813,3814,114
1200138,Bujari (AC),0.0651,3686,240,3109,337
1200179,Capixaba (AC),0.4302,3875,1667,2208,0
1200203,Cruzeiro do Sul (AC),0.3722,51851,19301,32014,536
1200252,Epitaciolândia (AC),0.3969,10405,4130,6228,47
1200302,Feijó (AC),0.4333,16575,7182,9334,59
1200328,Jordão (AC),0.0376,2262,85,2177,0
1200336,Mâncio Lima (AC),0.0710,8722,619,8103,0
1200344,Manoel Urbano (AC),0.0000,5254,0,5254,0
1200351,Marechal Thaumaturgo (AC),0.0536,3953,212,3701,40
1200385,Plácido de Castro (AC),0.3195,10338,3303,6948,87
1200393,Porto Walter (AC),0.0603,3269,197,3072,0
1200401,Rio Branco (AC),0.1327,295708,39232,254815,1661
1200427,Rodrigues Alves (AC),0.1663,4306,716,3578,12
1200435,Santa Rosa do Purus (AC),0.2994,1877,562,1315,0
