Codigo,Nome,Indice,Total,Não existe
1100015,Alta Floresta D'Oeste (RO),0.7702,13804,10632
1100023,Ariquemes (RO),0.9616,69068,66418
1100031,Cabixi (RO),0.9914,2689,2666
1100049,Cacoal (RO),0.8536,61699,52669
1100056,Cerejeiras (RO),0.9945,13755,13679
1100064,Colorado do Oeste (RO),0.9966,13404,13358
1100072,Corumbiara (RO),0.9949,2559,2546
1100080,Costa Marques (RO),0.9878,7366,7276
1100098,Espigão D'Oeste (RO),0.7057,19649,13867
1100106,Guajará-Mirim (RO),0.9829,34686,34093
1100114,Jaru (RO),0.9065,38030,34476
1100122,Ji-Paraná (RO),0.8434,96860,81695
1100130,Machadinho D'Oeste (RO),0.9085,14825,13469
1100148,Nova Brasilândia D'Oeste (RO),0.9971,8243,8219
1100155,Ouro Preto do Oeste (RO),0.9602,27980,26867
1100189,Pimenta Bueno (RO),0.6087,29200,17775
1100205,Porto Velho (RO),0.7567,387189,292996
1100254,Presidente Médici (RO),0.9765,13228,12917
1100262,Rio Crespo (RO),1.0000,1064,1064
1100288,Rolim de Moura (RO),0.9062,41063,37211
1100296,Santa Luzia D'Oeste (RO),0.8807,2984,2628
1100304,Vilhena (RO),0.9876,64322,63522
1100320,São Miguel do Guaporé (RO),0.9172,8392,7697
1100338,Nova Mamoré (RO),0.8761,13688,11992
1100346,Alvorada D'Oeste (RO),0.9857,8763,8638
1100379,Alto Alegre dos Parecis (RO),0.9766,3628,3543
1100403,Alto Paraíso (RO),0.9955,3299,3284
1100452,Buritis (RO),0.7865,20932,16464
1100502,Novo Horizonte do Oeste (RO),0.8749,1727,1511
1100601,Cacaulândia (RO),0.9650,2060,1988
1100700,Campo Novo de Rondônia (RO),0.9991,3349,3346
1100809,Candeias do Jamari (RO),0.9753,14645,14283
1100908,Castanheiras (RO),0.9388,834,783
1100924,Chupinguaia (RO),0.9839,3603,3545
1100940,Cujubim (RO),0.9989,10968,10956
1101005,Governador Jorge Teixeira (RO),0.9856,2356,2322
1101104,Itapuã do Oeste (RO),0.9095,5139,4674
1101203,Ministro Andreazza (RO),0.8415,3072,2585
1101302,Mirante da Serra (RO),0.5349,6444,3447
1101401,Monte Negro (RO),0.6439,7335,4723
1101435,Nova União (RO),0.9155,1538,1408
1101450,Parecis (RO),0.4133,1759,727
1101468,Pimenteiras do Oeste (RO),0.9708,1266,1229
1101476,Primavera de Rondônia (RO),0.9929,1270,1261
1101484,São Felipe D'Oeste (RO),0.8357,1436,1200
1101492,São Francisco do Guaporé (RO),0.9928,8201,8142
1101500,Seringueiras (RO),0.9353,4388,4104
1101559,Teixeirópolis (RO),0.8729,1416,1236
1101609,Theobroma (RO),0.9602,1960,1882
1101708,Urupá (RO),0.9289,5102,4739
1101757,Vale do Anari (RO),0.9790,3192,3125
1101807,Vale do Paraíso (RO),0.8848,2274,2012
1200013,Acrelândia (AC),0.9033,5902,5331
1200054,Assis Brasil (AC),0.6097,3651,2226
1200104,Brasiléia (AC),0.6181,13741,8493
1200138,Bujari (AC),0.8489,3686,3129
1200179,Capixaba (AC),0.8663,3875,3357
1200203,Cruzeiro do Sul (AC),0.8047,51851,41725
1200252,Epitaciolândia (AC),0.5992,10405,6235
1200302,Feijó (AC),0.4155,16575,6887
1200328,Jordão (AC),0.2887,2262,653
1200336,Mâncio Lima (AC),0.9939,8722,8669
1200344,Manoel Urbano (AC),0.1601,5254,841
1200351,Marechal Thaumaturgo (AC),0.5679,3953,2245
1200385,Plácido de Castro (AC),0.6041,10338,6245
1200393,Porto Walter (AC),0.4280,3269,1399
1200401,Rio Branco (AC),0.7233,295708,213872
1200427,Rodrigues Alves (AC),0.3068,4306,1321
1200435,Santa Rosa do Purus (AC),0.6596,1877,1238
1200450,Senador Guiomard (AC),0.9990,12605,12593
1200500,Sena Madureira (AC),0.4938,23788,11747
1200609,Tarauacá (AC),0.2887,17315,4999
1200708,Xapuri (AC),0.6196,10046,6225
1200807,Porto Acre (AC),0.3276,1978,648
1300029,Alvarães (AM),0.3903,7848,3063
1300060,Amaturá (AM),0.1173,4868,571
1300086,Anamã (AM),0.9325,4149,3869
1300102,Anori (AM),0.3502,9976,3494
1300144,Apuí (AM),0.9405,10540,9913
1300201,Atalaia do Norte (AM),0.1024,6838,700
1300300,Autazes (AM),0.6016,13794,8298
1300409,Barcelos (AM),0.3462,10901,3774
1300508,Barreirinha (AM),0.8555,11688,9999
1300607,Benjamin Constant (AM),0.3931,15462,6078
1300631,Beruri (AM),0.8024,7774,6238
1300680,Boa Vista do Ramos (AM),0.9679,7475,7235
1300706,Boca do Acre (AM),0.5196,19167,9959
1300805,Borba (AM),0.7174,14423,10347
1300839,Caapiranga (AM),0.8658,5103,4418
1300904,Canutama (AM),0.7873,6680,5259
1301001,Carauari (AM),0.5102,18349,9361
1301100,Careiro (AM),0.6244,9390,5863
1301159,Careiro da Várzea (AM),0.8494,996,846
1301209,Coari (AM),0.8136,46907,38165
1301308,Codajás (AM),0.6012,15787,9491
1301407,Eirunepé (AM),0.5263,20292,10679
1301506,Envira (AM),0.2063,10537,2174
1301605,Fonte Boa (AM),0.1046,15102,1579
