Codigo,Nome,Indice,Total,Não existe
1100015,Alta Floresta D'Oeste (RO),0.8698,13804,12007
1100023,Ariquemes (RO),0.9758,69068,67400
1100031,Cabixi (RO),0.9914,2689,2666
1100049,Cacoal (RO),0.9716,61699,59946
1100056,Cerejeiras (RO),0.9844,13755,13541
1100064,Colorado do Oeste (RO),0.9938,13404,13321
1100072,Corumbiara (RO),0.9992,2559,2557
1100080,Costa Marques (RO),0.8755,7366,6449
1100098,Espigão D'Oeste (RO),0.9861,19649,19376
1100106,Guajará-Mirim (RO),0.9774,34686,33901
1100114,Jaru (RO),0.9911,38030,37690
1100122,Ji-Paraná (RO),0.8953,96860,86718
1100130,Machadinho D'Oeste (RO),0.9758,14825,14466
1100148,Nova Brasilândia D'Oeste (RO),1.0000,8243,8243
1100155,Ouro Preto do Oeste (RO),0.9939,27980,27809
1100189,Pimenta Bueno (RO),0.6801,29200,19860
1100205,Porto Velho (RO),0.8615,387189,333561
1100254,Presidente Médici (RO),0.8875,13228,11740
1100262,Rio Crespo (RO),1.0000,1064,1064
1100288,Rolim de Moura (RO),0.9083,41063,37296
1100296,Santa Luzia D'Oeste (RO),1.0000,2984,2984
1100304,Vilhena (RO),0.9826,64322,63202
1100320,São Miguel do Guaporé (RO),0.9477,8392,7953
1100338,Nova Mamoré (RO),0.8719,13688,11935
1100346,Alvorada D'Oeste (RO),0.9981,8763,8746
1100379,Alto Alegre dos Parecis (RO),0.9865,3628,3579
1100403,Alto Paraíso (RO),0.9955,3299,3284
1100452,Buritis (RO),0.9491,20932,19867
1100502,Novo Horizonte do Oeste (RO),0.9832,1727,1698
1100601,Cacaulândia (RO),0.9922,2060,2044
1100700,Campo Novo de Rondônia (RO),1.0000,3349,3349
1100809,Candeias do Jamari (RO),0.9782,14645,14326
1100908,Castanheiras (RO),1.0000,834,834
1100924,Chupinguaia (RO),0.7444,3603,2682
1100940,Cujubim (RO),0.9967,10968,10932
1101005,Governador Jorge Teixeira (RO),0.9877,2356,2327
1101104,Itapuã do Oeste (RO),0.9089,5139,4671
1101203,Ministro Andreazza (RO),1.0000,3072,3072
1101302,Mirante da Serra (RO),0.8755,6444,5642
1101401,Monte Negro (RO),0.6462,7335,4740
1101435,Nova União (RO),0.7646,1538,1176
1101450,Parecis (RO),1.0000,1759,1759
1101468,Pimenteiras do Oeste (RO),0.7828,1266,991
1101476,Primavera de Rondônia (RO),0.9929,1270,1261
1101484,São Felipe D'Oeste (RO),0.8482,1436,1218
1101492,São Francisco do Guaporé (RO),0.9994,8201,8196
1101500,Seringueiras (RO),0.8093,4388,3551
1101559,Teixeirópolis (RO),0.9675,1416,1370
1101609,Theobroma (RO),1.0000,1960,1960
1101708,Urupá (RO),0.9677,5102,4937
1101757,Vale do Anari (RO),1.0000,3192,3192
1101807,Vale do Paraíso (RO),0.8865,2274,2016
1200013,Acrelândia (AC),0.9953,5902,5874
