Codigo,Nome,Indice,Total,Subnormais
1100205,Porto Velho,0.886789183,  421 223 ,  47 687 
1200203,Cruzeiro do Sul,0.960047079,  78 167 ,  3 123 
1200401,Rio Branco,0.899081827,  334 142 ,  33 721 
1300060,Amaturá,0.76959847,  9 414 ,  2 169 
1300102,Anori,0.912134404,  16 309 ,  1 433 
1300409,Barcelos,0.950591868,  25 259 ,  1 248 
1300508,Barreirinha,0.977266071,  27 316 ,   621 
1300607,Benjamin Constant,0.826819692,  33 110 ,  5 734 
1300706,Boca do Acre,0.869818993,  30 496 ,  3 970 
1301001,Carauari,0.902819856,  25 746 ,  2 502 
1301209,Coari,0.928475301,  75 792 ,  5 421 
1301308,Codajás,0.948060345,  23 200 ,  1 205 
1301407,Eirunepé,0.874555595,  30 659 ,  3 846 
1301506,Envira,0.963675345,  16 325 ,   593 
1301654,Guajará,0.936515889,  13 972 ,   887 
1301803,Ipixuna,0.89619206,  22 243 ,  2 309 
1301852,Iranduba,0.635685177,  40 734 ,  14 840 
1301902,Itacoatiara,0.987173863,  86 620 ,  1 111 
1302405,Lábrea,0.889500705,  37 593 ,  4 154 
1302504,Manacapuru,0.967691114,  85 054 ,  2 748 
1302603,Manaus,0.835533647, 1 799 213 ,  295 910 
1303205,Novo Airão,0.945192438,  14 706 ,   806 
1303403,Parintins,0.900073815,  101 605 ,  10 153 
1303700,Santo Antônio do Içá,0.733008716,  24 439 ,  6 525 
1304062,Tabatinga,0.962101984,  52 008 ,  1 971 
1304203,Tefé,0.854888715,  61 284 ,  8 893 
1304237,Tonantins,0.867767627,  17 076 ,  2 258 
1400100,Boa Vista,0.995910158,  282 896 ,  1 157 
1500305,Afuá,0.874285224,  34 976 ,  4 397 
1500503,Almeirim,0.954703937,  33 557 ,  1 520 
1500602,Altamira,0.916360099,  98 673 ,  8 253 
1500800,Ananindeua,0.388022578,  471 604 ,  288 611 
1501303,Barcarena,0.974223602,  99 820 ,  2 573 
1501402,Belém,0.455213268, 1 392 332 ,  758 524 
1501501,Benevides,0.985145054,  51 498 ,   765 
1502103,Cametá,0.956536129,  120 859 ,  5 253 
1504208,Marabá,0.876302597,  232 996 ,  28 821 
1504422,Marituba,0.228052631,  107 997 ,  83 368 
1505536,Parauapebas,0.910999122,  153 785 ,  13 687 
1506807,Santarém,0.853063432,  293 984 ,  43 197 
1508100,Tucuruí,0.709348483,  96 989 ,  28 190 
1600105,Amapá,0.929638854,  8 030 ,   565 
1600212,Cutias,0.851077448,  4 687 ,   698 
1600279,Laranjal do Jari,0.593428643,  39 870 ,  16 210 
1600303,Macapá,0.839436513,  397 170 ,  63 771 
1600600,Santana,0.823905967,  101 071 ,  17 798 
1600808,Vitória do Jari,0.263097857,  12 273 ,  9 044 
1702109,Araguaína,0.950998137,  150 280 ,  7 364 
2107506,Paço do Lumiar,0.877934138,  105 099 ,  12 829 
2109452,Raposa,0.756467236,  26 325 ,  6 411 
2111201,São José de Ribamar,0.552317629,  163 033 ,  72 987 
2111300,São Luís,0.77004431, 1 012 856 ,  232 912 
2112209,Timon,0.852332357,  155 315 ,  22 935 
2211001,Teresina,0.8381532,  812 194 ,  131 451 
2301000,Aquiraz,0.995966613,  71 404 ,   288 
2302602,Camocim,0.960798669,  60 100 ,  2 356 
2303709,Caucaia,0.943616887,  324 583 ,  18 301 
2304400,Fortaleza,0.838144978, 2 448 920 ,  396 370 
2304707,Granja,0.97959804,  52 642 ,  1 074 
2304954,Guaiúba,0.786227222,  24 091 ,  5 150 
2306256,Itaitinga,0.977784858,  34 526 ,   767 
2307304,Juazeiro do Norte,0.982733155,  249 148 ,  4 302 
2307650,Maracanaú,0.988000938,  208 933 ,  2 507 
2307700,Maranguape,0.953285716,  113 263 ,  5 291 
2309706,Pacatuba,0.978779657,  72 242 ,  1 533 
2310704,Pentecoste,0.919236749,  35 375 ,  2 857 
2311306,Quixadá,0.993231642,  80 374 ,   544 
2312700,Senador Pompeu,0.977445313,  26 469 ,   597 
2408003,Mossoró,0.977060998,  259 122 ,  5 944 
2408102,Natal,0.899300361,  802 128 ,  80 774 
2501807,Bayeux,0.921386645,  99 665 ,  7 835 
2503209,Cabedelo,0.963835825,  57 792 ,  2 090 
2504009,Campina Grande,0.924403787,  384 133 ,  29 039 
2507507,João Pessoa,0.873077249,  719 737 ,  91 351 
2513703,Santa Rita,0.994898214,  119 958 ,   612 
2600054,Abreu e Lima,0.920534593,  93 978 ,  7 468 
2601052,Araçoiaba,0.68935889,  18 156 ,  5 640 
2602902,Cabo de Santo Agostinho,0.5228101,  184 392 ,  87 990 
2603454,Camaragibe,0.921014936,  143 812 ,  11 359 
2604106,Caruaru,0.954862316,  314 017 ,  14 174 
2605202,Escada,0.883370113,  63 440 ,  7 399 
2606804,Igarassu,0.964657782,  101 748 ,  3 596 
2607604,Ilha de Itamaracá,0.848631152,  18 227 ,  2 759 
2607208,Ipojuca,0.953035481,  80 465 ,  3 779 
2607752,Itapissuma,0.951298559,  22 833 ,  1 112 
2607901,Jaboatão dos Guararapes,0.649733903,  643 939 ,  225 550 
2609402,Moreno,0.821132329,  56 662 ,  10 135 
2609600,Olinda,0.766219142,  377 409 ,  88 231 
2610707,Paulista,0.860179556,  300 185 ,  41 972 
2611606,Recife,0.771502304, 1 531 394 ,  349 920 
2613701,São Lourenço da Mata,0.871785898,  102 867 ,  13 189 
2615409,Toritama,0.968918767,  35 552 ,  1 105 
2700300,Arapiraca,0.997122807,  213 750 ,   615 
2700508,Barra de Santo Antônio,0.939981727,  14 229 ,   854 
2703601,Japaratinga,0.921573703,  7 727 ,   606 
2704302,Maceió,0.876758856,  930 363 ,  114 659 
2704500,Maragogi,0.934855234,  28 736 ,  1 872 
2704708,Marechal Deodoro,0.970974987,  45 857 ,  1 331 
2705507,Murici,0.945077842,  25 436 ,  1 397 
2705606,Novo Lino,0.967990712,  12 059 ,   386 
2706448,Paripueira,0.935907608,  11 343 ,   727 
2707701,Rio Largo,0.946480767,  68 424 ,  3 662 
2708501,São Luís do Quitunde,0.88792199,  32 406 ,  3 632 
2708907,Satuba,0.952954872,  14 603 ,   687 
2800308,Aracaju,0.891575812,  570 417 ,  61 847 
2800605,Barra dos Coqueiros,0.961288771,  24 954 ,   966 
2804805,Nossa Senhora do Socorro,0.890884992,  160 702 ,  17 535 
2806701,São Cristóvão,0.976355431,  78 665 ,  1 860 
2905701,Camaçari,0.931702676,  242 806 ,  16 583 
2906501,Candeias,0.912344548,  82 984 ,  7 274 
2913606,Ilhéus,0.787366737,  183 753 ,  39 072 
2914802,Itabuna,0.998989904,  203 941 ,   206 
2916104,Itaparica,0.942750858,  20 699 ,  1 185 
