Codigo,Nome,Indice,Total,1 morador - Total,1 morador - Tinham - 1 banheiro,1 morador - Tinham - 2 banheiros,1 morador - Tinham - 3 banheiros,1 morador - Tinham - 4 banheiros,1 morador - Tinham - 5 banheiros,1 morador - Tinham - 6 banheiros,1 morador - Tinham - 7 banheiros,1 morador - Tinham - 8 banheiros,1 morador - Tinham - 9 banheiros ou mais,2 moradores - Total,2 moradores - Tinham - 1 banheiro,2 moradores - Tinham - 2 banheiros,2 moradores - Tinham - 3 banheiros,2 moradores - Tinham - 4 banheiros,2 moradores - Tinham - 5 banheiros,2 moradores - Tinham - 6 banheiros,2 moradores - Tinham - 7 banheiros,2 moradores - Tinham - 8 banheiros,2 moradores - Tinham - 9 banheiros ou mais,3 moradores - Total,3 moradores - Tinham - 1 banheiro,3 moradores - Tinham - 2 banheiros,3 moradores - Tinham - 3 banheiros,3 moradores - Tinham - 4 banheiros,3 moradores - Tinham - 5 banheiros,3 moradores - Tinham - 6 banheiros,3 moradores - Tinham - 7 banheiros,3 moradores - Tinham - 8 banheiros,3 moradores - Tinham - 9 banheiros ou mais,4 moradores - Total,4 moradores - Tinham - 1 banheiro,4 moradores - Tinham - 2 banheiros,4 moradores - Tinham - 3 banheiros,4 moradores - Tinham - 4 banheiros,4 moradores - Tinham - 5 banheiros,4 moradores - Tinham - 6 banheiros,4 moradores - Tinham - 7 banheiros,4 moradores - Tinham - 8 banheiros,4 moradores - Tinham - 9 banheiros ou mais,5 moradores - Total,5 moradores - Tinham - 1 banheiro,5 moradores - Tinham - 2 banheiros,5 moradores - Tinham - 3 banheiros,5 moradores - Tinham - 4 banheiros,5 moradores - Tinham - 5 banheiros,5 moradores - Tinham - 6 banheiros,5 moradores - Tinham - 7 banheiros,5 moradores - Tinham - 8 banheiros,5 moradores - Tinham - 9 banheiros ou mais,6 moradores - Total,6 moradores - Tinham - 1 banheiro,6 moradores - Tinham - 2 banheiros,6 moradores - Tinham - 3 banheiros,6 moradores - Tinham - 4 banheiros,6 moradores - Tinham - 5 banheiros,6 moradores - Tinham - 6 banheiros,6 moradores - Tinham - 7 banheiros,6 moradores - Tinham - 8 banheiros,6 moradores - Tinham - 9 banheiros ou mais,7 moradores - Total,7 moradores - Tinham - 1 banheiro,7 moradores - Tinham - 2 banheiros,7 moradores - Tinham - 3 banheiros,7 moradores - Tinham - 4 banheiros,7 moradores - Tinham - 5 banheiros,7 moradores - Tinham - 6 banheiros,7 moradores - Tinham - 7 banheiros,7 moradores - Tinham - 8 banheiros,7 moradores - Tinham - 9 banheiros ou mais,8 moradores - Total,8 moradores - Tinham - 1 banheiro,8 moradores - Tinham - 2 banheiros,8 moradores - Tinham - 3 banheiros,8 moradores - Tinham - 4 banheiros,8 moradores - Tinham - 5 banheiros,8 moradores - Tinham - 6 banheiros,8 moradores - Tinham - 7 banheiros,8 moradores - Tinham - 8 banheiros,8 moradores - Tinham - 9 banheiros ou mais,9 moradores - Total,9 moradores - Tinham - 1 banheiro,9 moradores - Tinham - 2 banheiros,9 moradores - Tinham - 3 banheiros,9 moradores - Tinham - 4 banheiros,9 moradores - Tinham - 5 banheiros,9 moradores - Tinham - 6 banheiros,9 moradores - Tinham - 7 banheiros,9 moradores - Tinham - 8 banheiros,9 moradores - Tinham - 9 banheiros ou mais,10 moradores - Total,10 moradores - Tinham - 1 banheiro,10 moradores - Tinham - 2 banheiros,10 moradores - Tinham - 3 banheiros,10 moradores - Tinham - 4 banheiros,10 moradores - Tinham - 5 banheiros,10 moradores - Tinham - 6 banheiros,10 moradores - Tinham - 7 banheiros,10 moradores - Tinham - 8 banheiros,10 moradores - Tinham - 9 banheiros ou mais,11 moradores - Total,11 moradores - Tinham - 1 banheiro,11 moradores - Tinham - 2 banheiros,11 moradores - Tinham - 3 banheiros,11 moradores - Tinham - 4 banheiros,11 moradores - Tinham - 5 banheiros,11 moradores - Tinham - 6 banheiros,11 moradores - Tinham - 7 banheiros,11 moradores - Tinham - 8 banheiros,11 moradores - Tinham - 9 banheiros ou mais,12 moradores - Total,12 moradores - Tinham - 1 banheiro,12 moradores - Tinham - 2 banheiros,12 moradores - Tinham - 3 banheiros,12 moradores - Tinham - 4 banheiros,12 moradores - Tinham - 5 banheiros,12 moradores - Tinham - 6 banheiros,12 moradores - Tinham - 7 banheiros,12 moradores - Tinham - 8 banheiros,12 moradores - Tinham - 9 banheiros ou mais,13 moradores - Total,13 moradores - Tinham - 1 banheiro,13 moradores - Tinham - 2 banheiros,13 moradores - Tinham - 3 banheiros,13 moradores - Tinham - 4 banheiros,13 moradores - Tinham - 5 banheiros,13 moradores - Tinham - 6 banheiros,13 moradores - Tinham - 7 banheiros,13 moradores - Tinham - 8 banheiros,13 moradores - Tinham - 9 banheiros ou mais,14 moradores ou mais - Total,14 moradores ou mais - Tinham - 1 banheiro,14 moradores ou mais - Tinham - 2 banheiros,14 moradores ou mais - Tinham - 3 banheiros,14 moradores ou mais - Tinham - 4 banheiros,14 moradores ou mais - Tinham - 5 banheiros,14 moradores ou mais - Tinham - 6 banheiros,14 moradores ou mais - Tinham - 7 banheiros,14 moradores ou mais - Tinham - 8 banheiros,14 moradores ou mais - Tinham - 9 banheiros ou mais
1100015,Alta Floresta D'Oeste (RO),2.62,7270,788,569,62,10,1,0,0,0,0,0,1595,1196,203,23,5,2,0,0,0,0,1801,1342,209,45,5,1,0,0,0,1,1700,1214,212,43,7,2,0,0,0,0,827,592,106,19,9,1,0,0,0,0,324,231,29,2,0,0,0,0,0,0,144,104,13,0,2,0,0,0,0,0,47,27,8,0,0,0,0,0,0,0,26,16,4,0,0,0,0,0,0,0,8,6,1,0,0,0,0,0,0,0,5,3,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100023,Ariquemes (RO),2.74,27166,3305,2682,259,48,1,4,1,1,0,0,5828,4456,903,174,30,13,5,1,0,0,6615,4959,1077,270,40,15,3,1,0,0,6039,4270,1144,281,77,25,5,5,1,1,3180,2238,616,135,36,15,5,1,1,0,1262,902,204,58,8,5,3,0,1,0,537,383,91,24,2,2,0,0,0,0,216,143,45,12,0,1,0,0,0,0,104,73,22,4,0,1,0,0,0,0,35,28,4,2,0,0,0,0,0,0,28,20,5,2,0,0,0,0,0,0,10,7,1,2,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0
1100031,Cabixi (RO),2.81,1975,202,170,16,1,0,0,1,0,0,0,450,380,43,5,2,1,0,0,0,0,566,467,54,9,0,1,0,0,0,0,466,386,42,5,2,1,0,0,0,0,184,149,18,3,0,0,0,0,0,0,70,56,9,1,2,0,0,0,0,0,16,14,2,0,0,0,0,0,0,0,11,9,2,0,0,0,0,0,0,0,5,4,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100049,Cacoal (RO),2.67,24215,2663,2203,228,46,15,2,0,0,0,0,5553,4275,832,156,39,16,3,0,0,0,6273,4747,991,229,39,16,7,5,0,0,5570,3899,1117,258,60,17,5,3,2,0,2641,1855,499,120,20,9,2,0,1,0,896,598,171,38,11,0,1,0,0,0,354,223,85,8,5,1,0,0,0,0,122,77,25,3,4,2,0,0,0,0,80,44,16,6,1,0,0,0,0,0,31,18,4,1,0,0,0,0,0,0,15,10,2,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0
1100056,Cerejeiras (RO),2.72,5348,595,500,51,6,4,1,0,0,0,0,1280,1008,202,28,5,0,1,0,0,0,1415,1091,229,47,6,1,0,0,0,0,1237,955,201,36,6,2,1,0,0,0,544,417,72,20,5,2,0,0,0,0,162,114,26,9,1,0,0,0,0,0,66,57,7,1,0,0,0,0,0,0,25,15,5,1,0,0,0,0,0,0,11,8,3,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,5,3,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100064,Colorado do Oeste (RO),2.73,5959,704,583,59,6,3,1,0,0,0,0,1529,1253,187,28,8,1,0,0,0,0,1558,1293,188,32,7,0,0,0,0,0,1260,988,189,43,6,3,1,0,0,0,601,473,85,18,1,1,1,1,0,0,188,142,25,6,0,0,0,0,0,0,73,60,8,2,1,0,0,0,0,0,24,22,1,0,0,0,0,0,0,0,11,6,4,0,0,0,0,0,0,0,6,5,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100072,Corumbiara (RO),2.72,2649,255,186,5,0,1,1,1,0,0,0,598,493,44,6,0,0,0,0,0,0,722,594,58,3,3,0,0,0,0,0,622,487,51,8,1,0,0,0,0,0,280,218,30,1,1,0,0,0,0,0,108,84,10,1,0,0,0,0,0,0,44,32,3,0,0,0,0,0,0,0,16,10,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100080,Costa Marques (RO),2.34,3696,425,232,28,4,0,0,0,0,0,0,673,412,78,8,5,0,0,0,0,0,807,514,88,13,0,0,0,0,0,0,762,485,61,15,0,0,1,0,0,0,496,297,41,4,0,0,0,0,0,0,269,152,19,2,0,0,0,0,0,0,124,59,13,1,1,0,0,0,1,0,62,31,7,1,0,0,0,0,0,0,31,15,3,0,0,0,0,0,0,0,22,12,3,0,1,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,8,5,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0
1100098,Espigão D'Oeste (RO),2.66,8683,856,654,65,6,1,0,1,0,0,0,1928,1501,212,47,4,2,1,0,0,0,2278,1728,277,48,10,1,1,0,0,0,2057,1506,261,60,3,1,0,0,0,0,996,749,114,19,6,3,1,0,0,0,349,233,35,9,0,0,0,0,0,0,126,91,13,2,0,0,0,0,0,0,52,35,6,0,0,0,0,0,0,0,21,11,5,1,0,0,0,0,0,0,8,4,1,0,0,0,0,0,0,0,6,4,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
1100106,Guajará-Mirim (RO),2.21,10684,1210,693,120,27,4,0,1,0,0,0,2012,1144,360,80,17,7,1,2,0,0,2267,1292,401,98,25,5,0,1,0,0,2058,1095,395,111,19,3,1,3,0,0,1376,702,258,51,16,2,0,0,0,0,760,378,89,24,10,3,0,0,0,0,426,170,49,10,4,0,0,1,0,0,252,99,21,3,5,0,2,0,0,0,155,42,27,4,0,0,1,0,0,0,66,16,8,1,0,0,0,0,0,0,49,15,3,1,1,0,0,0,0,0,22,8,2,0,0,0,0,0,0,0,8,3,1,0,0,0,0,0,0,0,23,2,0,2,0,0,0,0,0,0
