Codigo,Nome,Indice,Total,Alvenaria com revestimento,Madeira aparelhada
1100015,Alta Floresta D'Oeste (RO),0.8662,24116,5309,15581
1100023,Ariquemes (RO),0.8570,89836,39494,37498
1100031,Cabixi (RO),0.9586,6303,1470,4572
1100049,Cacoal (RO),0.8799,78204,34391,34424
1100056,Cerejeiras (RO),0.9590,16966,4211,12060
1100064,Colorado do Oeste (RO),0.8991,18540,4721,11949
1100072,Corumbiara (RO),0.9410,8647,1855,6282
1100080,Costa Marques (RO),0.8897,13563,2282,9785
1100098,Espigão D'Oeste (RO),0.8644,28510,6550,18094
1100106,Guajará-Mirim (RO),0.8157,39960,16642,15955
1100114,Jaru (RO),0.9056,51771,16444,30442
1100122,Ji-Paraná (RO),0.9005,115997,53526,50935
1100130,Machadinho D'Oeste (RO),0.9231,31034,4375,24271
1100148,Nova Brasilândia D'Oeste (RO),0.9832,19542,2170,17043
1100155,Ouro Preto do Oeste (RO),0.9196,37732,15579,19120
1100189,Pimenta Bueno (RO),0.8283,33623,11673,16176
1100205,Porto Velho (RO),0.8314,423100,272552,79210
1100254,Presidente Médici (RO),0.9021,22287,6268,13836
1100262,Rio Crespo (RO),0.9729,3286,332,2865
1100288,Rolim de Moura (RO),0.8955,50402,16571,28562
1100296,Santa Luzia D'Oeste (RO),0.8731,8865,2617,5123
1100304,Vilhena (RO),0.8789,75726,40011,26542
1100320,São Miguel do Guaporé (RO),0.9075,21700,2260,17432
1100338,Nova Mamoré (RO),0.9083,22284,3400,16841
1100346,Alvorada D'Oeste (RO),0.9344,16720,2754,12869
1100379,Alto Alegre dos Parecis (RO),0.9112,12775,1649,9992
1100403,Alto Paraíso (RO),0.8893,17118,2178,13045
1100452,Buritis (RO),0.9024,32296,3280,25865
1100502,Novo Horizonte do Oeste (RO),0.9424,10198,1848,7763
1100601,Cacaulândia (RO),0.9128,5733,842,4391
1100700,Campo Novo de Rondônia (RO),0.9625,12609,1314,10822
1100809,Candeias do Jamari (RO),0.8227,19685,6932,9262
1100908,Castanheiras (RO),0.9269,3569,471,2837
1100924,Chupinguaia (RO),0.9540,8060,924,6765
1100940,Cujubim (RO),0.9355,15715,1225,13477
1101005,Governador Jorge Teixeira (RO),0.9568,10454,1870,8132
1101104,Itapuã do Oeste (RO),0.7249,8456,1691,4439
1101203,Ministro Andreazza (RO),0.9638,10352,3307,6670
1101302,Mirante da Serra (RO),0.9438,11878,2433,8778
1101401,Monte Negro (RO),0.9512,14029,2484,10860
1101435,Nova União (RO),0.8797,7481,1848,4733
1101450,Parecis (RO),0.9386,4774,278,4203
1101468,Pimenteiras do Oeste (RO),0.8602,2282,435,1528
1101476,Primavera de Rondônia (RO),0.9159,3495,670,2531
1101484,São Felipe D'Oeste (RO),0.8854,6003,1329,3986
1101492,São Francisco do Guaporé (RO),0.9600,16018,1177,14201
1101500,Seringueiras (RO),0.8870,11429,1442,8696
1101559,Teixeirópolis (RO),0.9439,4867,1595,2999
1101609,Theobroma (RO),0.9529,10335,1638,8210
1101708,Urupá (RO),0.9066,12902,3388,8309
1101757,Vale do Anari (RO),0.9388,9362,772,8017
1101807,Vale do Paraíso (RO),0.8503,8199,2668,4304
1200013,Acrelândia (AC),0.9520,12519,1537,10381
1200054,Assis Brasil (AC),0.8861,6023,419,4918
1200104,Brasiléia (AC),0.8559,21276,4374,13837
1200138,Bujari (AC),0.8600,8451,1121,6147
1200179,Capixaba (AC),0.9144,8798,1017,7028
1200203,Cruzeiro do Sul (AC),0.9042,78128,15351,55292
1200252,Epitaciolândia (AC),0.9602,15083,2462,12020
1200302,Feijó (AC),0.7844,32328,2990,22367
1200328,Jordão (AC),0.5986,6564,58,3871
1200336,Mâncio Lima (AC),0.9387,15152,2687,11536
1200344,Manoel Urbano (AC),0.8165,7953,450,6044
1200351,Marechal Thaumaturgo (AC),0.7950,14130,28,11206
1200385,Plácido de Castro (AC),0.8854,17154,2950,12239
1200393,Porto Walter (AC),0.8752,9066,93,7842
1200401,Rio Branco (AC),0.8371,333573,150062,129172
1200427,Rodrigues Alves (AC),0.9380,14372,2005,11476
1200435,Santa Rosa do Purus (AC),0.4934,4672,122,2183
1200450,Senador Guiomard (AC),0.8508,20029,4635,12406
1200500,Sena Madureira (AC),0.8319,37837,6465,25012
1200609,Tarauacá (AC),0.7007,35475,1857,23001
1200708,Xapuri (AC),0.9206,16059,1876,12908
1200807,Porto Acre (AC),0.8905,14862,1394,11840
1300029,Alvarães (AM),0.9446,14053,1361,11913
1300060,Amaturá (AM),0.8858,9393,1405,6915
1300086,Anamã (AM),0.8559,10184,9,8707
1300102,Anori (AM),0.9629,16309,3013,12691
1300144,Apuí (AM),0.8616,17944,1622,13839
1300201,Atalaia do Norte (AM),0.4980,15082,477,7034
1300300,Autazes (AM),0.8508,31928,3891,23272
1300409,Barcelos (AM),0.6387,21068,2843,10613
1300508,Barreirinha (AM),0.8253,27204,1827,20624
1300607,Benjamin Constant (AM),0.8405,33110,2458,25372
1300631,Beruri (AM),0.7901,15477,193,12035
1300680,Boa Vista do Ramos (AM),0.8754,14911,912,12141
1300706,Boca do Acre (AM),0.9077,30457,1513,26134
1300805,Borba (AM),0.8594,34950,6904,23131
1300839,Caapiranga (AM),0.8837,10927,786,8870
1300904,Canutama (AM),0.9673,12738,302,12019
1301001,Carauari (AM),0.9012,25697,3587,19572
1301100,Careiro (AM),0.8865,32634,2923,26007
1301159,Careiro da Várzea (AM),0.8922,23930,385,20966
1301209,Coari (AM),0.8820,75383,16830,49655
1301308,Codajás (AM),0.9251,23173,3989,17449
1301407,Eirunepé (AM),0.8537,30513,3552,22497
1301506,Envira (AM),0.7602,16325,725,11685
1301605,Fonte Boa (AM),0.8438,22803,2962,16279
1301654,Guajará (AM),0.8244,13850,1129,10289
1301704,Humaitá (AM),0.8236,44021,11791,24465
1301803,Ipixuna (AM),0.8019,22243,1042,16794
1301852,Iranduba (AM),0.7922,40677,13740,18484
1301902,Itacoatiara (AM),0.7873,86481,33208,34876
1301951,Itamarati (AM),0.8390,7981,245,6451
1302009,Itapiranga (AM),0.8520,8067,1679,5194
