Codigo,Nome,Indice,Total,Casa,Casa de vila ou em condomínio,Apartamento
1100015,Alta Floresta D'Oeste (RO),0.9996,24054,23990,31,23
1100023,Ariquemes (RO),0.9993,89635,84423,474,4677
1100031,Cabixi (RO),1.0000,6298,6293,3,2
1100049,Cacoal (RO),0.9992,78282,75900,31,2292
1100056,Cerejeiras (RO),0.9991,16934,16815,23,81
1100064,Colorado do Oeste (RO),0.9983,18524,18441,16,36
1100072,Corumbiara (RO),0.9991,8626,8605,7,6
1100080,Costa Marques (RO),0.9993,13466,13432,11,13
1100098,Espigão D'Oeste (RO),0.9994,28538,28366,64,92
1100106,Guajará-Mirim (RO),0.9845,40012,38233,711,446
1100114,Jaru (RO),0.9976,51739,50874,45,696
1100122,Ji-Paraná (RO),0.9983,115740,110745,152,4644
1100130,Machadinho D'Oeste (RO),0.9963,30996,30592,47,243
1100148,Nova Brasilândia D'Oeste (RO),1.0000,19645,19636,3,6
1100155,Ouro Preto do Oeste (RO),0.9992,37685,37432,26,197
1100189,Pimenta Bueno (RO),0.9987,33554,33128,24,360
1100205,Porto Velho (RO),0.9942,419909,367193,8113,42171
1100254,Presidente Médici (RO),0.9996,22199,22147,15,29
1100262,Rio Crespo (RO),0.9945,3285,3263,4,0
1100288,Rolim de Moura (RO),0.9978,50230,49281,142,697
1100296,Santa Luzia D'Oeste (RO),1.0000,8836,8822,8,6
1100304,Vilhena (RO),0.9969,75472,70989,223,4028
1100320,São Miguel do Guaporé (RO),0.9989,21699,21572,44,59
1100338,Nova Mamoré (RO),0.9993,22306,22133,68,89
1100346,Alvorada D'Oeste (RO),0.9996,16677,16651,0,20
1100379,Alto Alegre dos Parecis (RO),0.9958,12758,12690,15,0
1100403,Alto Paraíso (RO),0.9992,17098,16960,30,94
1100452,Buritis (RO),0.9982,32206,31829,43,275
1100502,Novo Horizonte do Oeste (RO),0.9994,10199,10186,0,7
1100601,Cacaulândia (RO),1.0000,5719,5706,13,0
1100700,Campo Novo de Rondônia (RO),1.0000,12612,12592,3,17
1100809,Candeias do Jamari (RO),0.9982,19698,18912,17,733
1100908,Castanheiras (RO),1.0000,3546,3543,3,0
1100924,Chupinguaia (RO),0.9951,8033,7933,23,38
1100940,Cujubim (RO),0.9992,15744,15625,78,28
1101005,Governador Jorge Teixeira (RO),0.9993,10480,10453,13,7
1101104,Itapuã do Oeste (RO),0.9955,8473,8186,188,61
1101203,Ministro Andreazza (RO),0.9996,10342,10324,0,14
1101302,Mirante da Serra (RO),0.9997,11874,11843,20,7
1101401,Monte Negro (RO),0.9998,14008,13903,15,87
1101435,Nova União (RO),1.0000,7483,7477,6,0
1101450,Parecis (RO),0.9962,4758,4740,0,0
1101468,Pimenteiras do Oeste (RO),0.9974,2277,2264,7,0
1101476,Primavera de Rondônia (RO),0.9997,3497,3496,0,0
1101484,São Felipe D'Oeste (RO),1.0000,5995,5992,3,0
1101492,São Francisco do Guaporé (RO),0.9979,15976,15918,16,8
1101500,Seringueiras (RO),0.9991,11475,11448,0,17
1101559,Teixeirópolis (RO),1.0000,4849,4838,4,7
1101609,Theobroma (RO),0.9997,10316,10310,0,3
1101708,Urupá (RO),0.9998,12911,12795,98,16
1101757,Vale do Anari (RO),0.9979,9370,9332,18,0
1101807,Vale do Paraíso (RO),1.0000,8182,8163,0,19
1200013,Acrelândia (AC),0.9973,12489,12412,18,25
1200054,Assis Brasil (AC),0.9943,6017,5979,0,4
1200104,Brasiléia (AC),0.9969,21275,20835,17,356
1200138,Bujari (AC),0.9989,8420,8385,2,24
1200179,Capixaba (AC),0.9983,8762,8669,0,78
1200203,Cruzeiro do Sul (AC),0.9985,77956,76854,261,721
1200252,Epitaciolândia (AC),0.9993,15005,14700,9,286
