Codigo,Nome,Indice,Total,Rede geral de distribuição
1100015,Alta Floresta D'Oeste (RO),0.3913,13804,5401
1100023,Ariquemes (RO),0.4407,69068,30440
1100031,Cabixi (RO),0.4533,2689,1219
1100049,Cacoal (RO),0.9475,61699,58459
1100056,Cerejeiras (RO),0.3983,13755,5478
1100064,Colorado do Oeste (RO),0.8207,13404,11000
1100072,Corumbiara (RO),0.3310,2559,847
1100080,Costa Marques (RO),0.2875,7366,2118
1100098,Espigão D'Oeste (RO),0.3796,19649,7458
1100106,Guajará-Mirim (RO),0.4875,34686,16909
1100114,Jaru (RO),0.3183,38030,12106
1100122,Ji-Paraná (RO),0.5161,96860,49993
1100130,Machadinho D'Oeste (RO),0.5676,14825,8415
1100148,Nova Brasilândia D'Oeste (RO),0.6227,8243,5133
1100155,Ouro Preto do Oeste (RO),0.5836,27980,16329
1100189,Pimenta Bueno (RO),0.7929,29200,23152
1100205,Porto Velho (RO),0.4009,387189,155217
1100254,Presidente Médici (RO),0.5290,13228,6997
1100262,Rio Crespo (RO),0.2387,1064,254
1100288,Rolim de Moura (RO),0.5868,41063,24097
1100296,Santa Luzia D'Oeste (RO),0.3639,2984,1086
1100304,Vilhena (RO),0.9913,64322,63764
1100320,São Miguel do Guaporé (RO),0.1709,8392,1434
1100338,Nova Mamoré (RO),0.1029,13688,1409
1100346,Alvorada D'Oeste (RO),0.8065,8763,7067
1100379,Alto Alegre dos Parecis (RO),0.1781,3628,646
1100403,Alto Paraíso (RO),0.1046,3299,345
1100452,Buritis (RO),0.0043,20932,89
1100502,Novo Horizonte do Oeste (RO),0.6856,1727,1184
1100601,Cacaulândia (RO),0.2248,2060,463
1100700,Campo Novo de Rondônia (RO),0.7916,3349,2651
1100809,Candeias do Jamari (RO),0.7885,14645,11548
1100908,Castanheiras (RO),0.6211,834,518
1100924,Chupinguaia (RO),0.9811,3603,3535
1100940,Cujubim (RO),0.1425,10968,1563
1101005,Governador Jorge Teixeira (RO),0.0132,2356,31
1101104,Itapuã do Oeste (RO),0.4606,5139,2367
1101203,Ministro Andreazza (RO),0.4642,3072,1426
1101302,Mirante da Serra (RO),0.2489,6444,1604
1101401,Monte Negro (RO),0.5215,7335,3825
1101435,Nova União (RO),0.3427,1538,527
1101450,Parecis (RO),0.6566,1759,1155
1101468,Pimenteiras do Oeste (RO),0.8649,1266,1095
1101476,Primavera de Rondônia (RO),0.9677,1270,1229
1101484,São Felipe D'Oeste (RO),0.5153,1436,740
1101492,São Francisco do Guaporé (RO),0.0000,8201,0
1101500,Seringueiras (RO),0.2040,4388,895
1101559,Teixeirópolis (RO),0.3171,1416,449
1101609,Theobroma (RO),0.4842,1960,949
1101708,Urupá (RO),0.3599,5102,1836
1101757,Vale do Anari (RO),0.3781,3192,1207
1101807,Vale do Paraíso (RO),0.1548,2274,352
1200013,Acrelândia (AC),0.5910,5902,3488
1200054,Assis Brasil (AC),0.7729,3651,2822
1200104,Brasiléia (AC),0.7998,13741,10990
1200138,Bujari (AC),0.8844,3686,3260
1200179,Capixaba (AC),0.8769,3875,3398
1200203,Cruzeiro do Sul (AC),0.6391,51851,33140
1200252,Epitaciolândia (AC),0.8433,10405,8775
1200302,Feijó (AC),0.2487,16575,4123
1200328,Jordão (AC),0.9598,2262,2171
1200336,Mâncio Lima (AC),0.7072,8722,6168
1200344,Manoel Urbano (AC),0.8413,5254,4420
1200351,Marechal Thaumaturgo (AC),0.7169,3953,2834
1200385,Plácido de Castro (AC),0.5580,10338,5769
1200393,Porto Walter (AC),0.9122,3269,2982
1200401,Rio Branco (AC),0.5698,295708,168483
1200427,Rodrigues Alves (AC),0.8734,4306,3761
1200435,Santa Rosa do Purus (AC),0.9297,1877,1745
1200450,Senador Guiomard (AC),0.5123,12605,6457
1200500,Sena Madureira (AC),0.5708,23788,13578
1200609,Tarauacá (AC),0.6899,17315,11946
1200708,Xapuri (AC),0.7798,10046,7834
1200807,Porto Acre (AC),0.5683,1978,1124
1300029,Alvarães (AM),0.7938,7848,6230
1300060,Amaturá (AM),0.9558,4868,4653
1300086,Anamã (AM),0.9742,4149,4042
1300102,Anori (AM),0.9714,9976,9691
1300144,Apuí (AM),0.1924,10540,2028
1300201,Atalaia do Norte (AM),0.7913,6838,5411
1300300,Autazes (AM),0.2493,13794,3439
1300409,Barcelos (AM),0.9340,10901,10182
1300508,Barreirinha (AM),0.9374,11688,10956
1300607,Benjamin Constant (AM),0.7442,15462,11507
1300631,Beruri (AM),0.8532,7774,6633
1300680,Boa Vista do Ramos (AM),0.9497,7475,7099
