Codigo,Nome,Indice,Total,Tinham banheiro - de uso exclusivo do domicílio - rede geral de esgoto ou pluvial,Tinham sanitário - rede geral de esgoto ou pluvial
1100015,Alta Floresta D'Oeste (RO),0.0025,24054,55,5
1100023,Ariquemes (RO),0.0112,89635,1001,6
1100031,Cabixi (RO),0.0010,6298,6,0
1100049,Cacoal (RO),0.3810,78282,29728,94
1100056,Cerejeiras (RO),0.0009,16934,16,0
1100064,Colorado do Oeste (RO),0.0044,18524,81,0
1100072,Corumbiara (RO),0.0026,8626,22,0
1100080,Costa Marques (RO),0.0010,13466,14,0
1100098,Espigão D'Oeste (RO),0.0033,28538,93,0
1100106,Guajará-Mirim (RO),0.0742,40012,2799,170
1100114,Jaru (RO),0.0079,51739,400,8
1100122,Ji-Paraná (RO),0.0331,115740,3795,39
1100130,Machadinho D'Oeste (RO),0.0014,30996,42,0
1100148,Nova Brasilândia D'Oeste (RO),0.0014,19645,27,0
1100155,Ouro Preto do Oeste (RO),0.0097,37685,367,0
1100189,Pimenta Bueno (RO),0.0765,33554,2564,4
1100205,Porto Velho (RO),0.0947,419909,39398,350
1100254,Presidente Médici (RO),0.0077,22199,165,5
1100262,Rio Crespo (RO),0.0000,3285,0,0
1100288,Rolim de Moura (RO),0.0058,50230,287,4
1100296,Santa Luzia D'Oeste (RO),0.0113,8836,100,0
1100304,Vilhena (RO),0.0112,75472,838,4
1100320,São Miguel do Guaporé (RO),0.0023,21699,49,0
1100338,Nova Mamoré (RO),0.0006,22306,14,0
1100346,Alvorada D'Oeste (RO),0.2919,16677,4842,26
1100379,Alto Alegre dos Parecis (RO),0.0021,12758,27,0
1100403,Alto Paraíso (RO),0.0018,17098,30,0
1100452,Buritis (RO),0.0007,32206,22,2
1100502,Novo Horizonte do Oeste (RO),0.0380,10199,387,1
1100601,Cacaulândia (RO),0.0007,5719,4,0
1100700,Campo Novo de Rondônia (RO),0.0014,12612,18,0
1100809,Candeias do Jamari (RO),0.0385,19698,737,21
1100908,Castanheiras (RO),0.0000,3546,0,0
1100924,Chupinguaia (RO),0.0056,8033,40,5
1100940,Cujubim (RO),0.0010,15744,15,0
1101005,Governador Jorge Teixeira (RO),0.0024,10480,24,1
1101104,Itapuã do Oeste (RO),0.0189,8473,160,0
1101203,Ministro Andreazza (RO),0.0260,10342,269,0
1101302,Mirante da Serra (RO),0.0000,11874,0,0
1101401,Monte Negro (RO),0.0009,14008,13,0
1101435,Nova União (RO),0.0000,7483,0,0
1101450,Parecis (RO),0.0000,4758,0,0
1101468,Pimenteiras do Oeste (RO),0.0000,2277,0,0
1101476,Primavera de Rondônia (RO),0.0003,3497,0,1
1101484,São Felipe D'Oeste (RO),0.0025,5995,15,0
1101492,São Francisco do Guaporé (RO),0.0000,15976,0,0
1101500,Seringueiras (RO),0.0017,11475,20,0
1101559,Teixeirópolis (RO),0.0012,4849,6,0
1101609,Theobroma (RO),0.0042,10316,43,0
1101708,Urupá (RO),0.0005,12911,7,0
1101757,Vale do Anari (RO),0.0000,9370,0,0
