Codigo,Nome,Indice,Total,Tinham - de companhia distribuidora - com medidor,Tinham - de outra fonte
1100015,Alta Floresta D'Oeste (RO),0.9055,24054,21456,326
1100023,Ariquemes (RO),0.9468,89635,84449,415
1100031,Cabixi (RO),0.9314,6298,5852,14
1100049,Cacoal (RO),0.9372,78282,73302,60
1100056,Cerejeiras (RO),0.9669,16934,16347,27
1100064,Colorado do Oeste (RO),0.9620,18524,17808,12
1100072,Corumbiara (RO),0.9185,8626,7699,224
1100080,Costa Marques (RO),0.8752,13466,11418,367
1100098,Espigão D'Oeste (RO),0.9317,28538,26084,505
1100106,Guajará-Mirim (RO),0.9290,40012,35504,1666
1100114,Jaru (RO),0.9676,51739,50014,50
1100122,Ji-Paraná (RO),0.9656,115740,111566,192
1100130,Machadinho D'Oeste (RO),0.8339,30996,25049,800
1100148,Nova Brasilândia D'Oeste (RO),0.8854,19645,17334,60
1100155,Ouro Preto do Oeste (RO),0.9653,37685,36260,116
1100189,Pimenta Bueno (RO),0.9557,33554,31691,375
1100205,Porto Velho (RO),0.8666,419909,360312,3577
1100254,Presidente Médici (RO),0.9191,22199,20370,34
1100262,Rio Crespo (RO),0.8521,3285,2779,20
1100288,Rolim de Moura (RO),0.9594,50230,48114,77
1100296,Santa Luzia D'Oeste (RO),0.9230,8836,8129,27
1100304,Vilhena (RO),0.9566,75472,71451,743
1100320,São Miguel do Guaporé (RO),0.9234,21699,19924,112
1100338,Nova Mamoré (RO),0.7939,22306,17288,420
1100346,Alvorada D'Oeste (RO),0.9598,16677,16002,5
1100379,Alto Alegre dos Parecis (RO),0.8606,12758,10946,34
1100403,Alto Paraíso (RO),0.9490,17098,16127,99
1100452,Buritis (RO),0.8976,32206,28500,409
1100502,Novo Horizonte do Oeste (RO),0.9472,10199,9611,50
1100601,Cacaulândia (RO),0.9117,5719,5161,53
1100700,Campo Novo de Rondônia (RO),0.7789,12612,9702,122
1100809,Candeias do Jamari (RO),0.8690,19698,16952,165
1100908,Castanheiras (RO),0.9715,3546,3442,3
1100924,Chupinguaia (RO),0.8576,8033,6690,199
1100940,Cujubim (RO),0.8477,15744,13116,230
1101005,Governador Jorge Teixeira (RO),0.9027,10480,9392,68
1101104,Itapuã do Oeste (RO),0.9719,8473,8224,11
1101203,Ministro Andreazza (RO),0.9085,10342,9336,60
1101302,Mirante da Serra (RO),0.8972,11874,10633,20
1101401,Monte Negro (RO),0.9417,14008,13166,25
1101435,Nova União (RO),0.8546,7483,6349,46
1101450,Parecis (RO),0.8476,4758,3906,127
1101468,Pimenteiras do Oeste (RO),0.8911,2277,1971,58
1101476,Primavera de Rondônia (RO),0.9048,3497,3161,3
1101484,São Felipe D'Oeste (RO),0.9328,5995,5584,8
1101492,São Francisco do Guaporé (RO),0.9032,15976,14053,377
1101500,Seringueiras (RO),0.9390,11475,10745,30
1101559,Teixeirópolis (RO),0.7775,4849,3770,0
1101609,Theobroma (RO),0.8133,10316,8341,49
1101708,Urupá (RO),0.9068,12911,11698,10
1101757,Vale do Anari (RO),0.8506,9370,7904,66
1101807,Vale do Paraíso (RO),0.8086,8182,6592,24
1200013,Acrelândia (AC),0.9339,12489,11621,42
1200054,Assis Brasil (AC),0.8089,6017,4553,314
1200104,Brasiléia (AC),0.9078,21275,18806,507
1200138,Bujari (AC),0.9464,8420,7705,264
1200179,Capixaba (AC),0.9401,8762,8013,224
1200203,Cruzeiro do Sul (AC),0.9330,77956,70850,1882
1200252,Epitaciolândia (AC),0.9180,15005,13531,243
1200302,Feijó (AC),0.6484,32251,20235,678
1200328,Jordão (AC),0.4159,6555,2159,567
1200336,Mâncio Lima (AC),0.8457,15128,12382,411
1200344,Manoel Urbano (AC),0.7560,7941,5721,282
1200351,Marechal Thaumaturgo (AC),0.4868,14170,4465,2433
1200385,Plácido de Castro (AC),0.9802,17132,16758,34
1200393,Porto Walter (AC),0.6949,9088,4273,2042
1200401,Rio Branco (AC),0.8542,333241,280779,3873
1200427,Rodrigues Alves (AC),0.8984,14343,12517,369
1200435,Santa Rosa do Purus (AC),0.6754,4676,1680,1478
1200450,Senador Guiomard (AC),0.9368,20054,18616,170
1200500,Sena Madureira (AC),0.8293,37834,29322,2052
1200609,Tarauacá (AC),0.7151,35397,23520,1792
1200708,Xapuri (AC),0.8324,16034,12724,622
1200807,Porto Acre (AC),0.9529,14842,14122,21
1300029,Alvarães (AM),0.9014,14043,7547,5111
1300060,Amaturá (AM),0.7364,9367,4545,2353
1300086,Anamã (AM),0.7981,10174,4641,3479
1300102,Anori (AM),0.8533,16252,9268,4600
1300144,Apuí (AM),0.7777,17898,13276,643
1300201,Atalaia do Norte (AM),0.5894,15071,6858,2025
1300300,Autazes (AM),0.6926,31951,17441,4689
1300409,Barcelos (AM),0.6114,23103,9793,4332
1300508,Barreirinha (AM),0.7350,27211,14673,5327
1300607,Benjamin Constant (AM),0.8042,32923,22312,4166
1300631,Beruri (AM),0.7875,15475,9378,2808
1300680,Boa Vista do Ramos (AM),0.7080,14856,7999,2519
1300706,Boca do Acre (AM),0.7688,30370,19196,4151
1300805,Borba (AM),0.7918,34885,17466,10155
1300839,Caapiranga (AM),0.8569,10919,7587,1770
1300904,Canutama (AM),0.7751,12732,8025,1843
1301001,Carauari (AM),0.9187,25690,19649,3953
1301100,Careiro (AM),0.7067,32664,22013,1072
1301159,Careiro da Várzea (AM),0.7003,23873,15940,779
1301209,Coari (AM),0.8063,75493,41944,18925
1301308,Codajás (AM),0.8731,23155,14474,5742
1301407,Eirunepé (AM),0.7677,30596,20809,2679
1301506,Envira (AM),0.7139,16313,10679,967
1301605,Fonte Boa (AM),0.7683,22747,13827,3650
1301654,Guajará (AM),0.6324,13881,8156,623
1301704,Humaitá (AM),0.8893,44021,30797,8351
1301803,Ipixuna (AM),0.6498,22195,9098,5324
1301852,Iranduba (AM),0.8312,40601,31207,2539
1301902,Itacoatiara (AM),0.8504,86293,64642,8740
1301951,Itamarati (AM),0.6686,8029,4460,908
1302009,Itapiranga (AM),0.8667,8109,6493,535
1302108,Japurá (AM),0.7472,7248,3348,2068
1302207,Juruá (AM),0.7756,10763,6299,2049
1302306,Jutaí (AM),0.8265,17929,10402,4416
1302405,Lábrea (AM),0.7625,37497,24386,4204
1302504,Manacapuru (AM),0.8374,84853,62906,8149
1302553,Manaquiri (AM),0.7394,22641,12401,4339
1302603,Manaus (AM),0.7759,1793954,1357927,34044
1302702,Manicoré (AM),0.7976,46795,24251,13074
1302801,Maraã (AM),0.8003,17468,6909,7070
1302900,Maués (AM),0.6770,51992,23392,11804
1303007,Nhamundá (AM),0.7786,18222,9203,4985
1303106,Nova Olinda do Norte (AM),0.6151,30290,13106,5525
1303205,Novo Airão (AM),0.8565,14618,10385,2135
1303304,Novo Aripuanã (AM),0.7256,21312,12442,3022
1303403,Parintins (AM),0.7703,101149,68652,9261
1303502,Pauini (AM),0.6854,18066,8638,3745
1303536,Presidente Figueiredo (AM),0.8257,26917,21293,932
1303569,Rio Preto da Eva (AM),0.9311,25298,23206,348
1303601,Santa Isabel do Rio Negro (AM),0.5526,17964,6228,3699
1303700,Santo Antônio do Içá (AM),0.6785,24362,14191,2339
1303809,São Gabriel da Cachoeira (AM),0.6473,37635,19802,4560
1303908,São Paulo de Olivença (AM),0.6562,31280,16801,3724
1303957,São Sebastião do Uatumã (AM),0.7445,10678,6494,1456
1304005,Silves (AM),0.8048,8413,4756,2015
1304062,Tabatinga (AM),0.7622,51842,35200,4316
1304104,Tapauá (AM),0.6695,19037,9173,3573
1304203,Tefé (AM),0.9320,61207,50801,6244
1304237,Tonantins (AM),0.7511,17068,8836,3983
1304260,Uarini (AM),0.8571,11725,6177,3872
1304302,Urucará (AM),0.8451,17020,11700,2683
1304401,Urucurituba (AM),0.7792,17671,11909,1861
1400027,Amajari (RR),0.2056,9233,1055,843
1400050,Alto Alegre (RR),0.3271,16339,4657,687
1400100,Boa Vista (RR),0.9275,281721,258473,2827
1400159,Bonfim (RR),0.3641,10830,2559,1384
1400175,Cantá (RR),0.4288,13793,5579,335
1400209,Caracaraí (RR),0.4941,18216,8603,398
1400233,Caroebe (RR),0.4399,8002,3085,435
1400282,Iracema (RR),0.4614,8642,3830,157
1400308,Mucajaí (RR),0.6799,14638,9758,195
1400407,Normandia (RR),0.4385,8917,1864,2046
1400456,Pacaraima (RR),0.5324,10375,4009,1515
1400472,Rorainópolis (RR),0.5277,23993,10197,2464
1400506,São João da Baliza (RR),0.5914,6713,3967,3
1400605,São Luiz (RR),0.6429,6632,4241,23
1400704,Uiramutã (RR),0.0568,8360,103,372
1500107,Abaetetuba (PA),0.7651,140090,85046,22137
1500131,Abel Figueiredo (PA),0.9234,6725,6121,89
1500206,Acará (PA),0.6644,53042,29742,5499
1500305,Afuá (PA),0.6984,34893,8903,15468
1500347,Água Azul do Norte (PA),0.8502,24589,18227,2678
1500404,Alenquer (PA),0.7024,52443,31728,5108
1500503,Almeirim (PA),0.8139,33399,20541,6642
1500602,Altamira (PA),0.8487,98097,75149,8110
1500701,Anajás (PA),0.6701,24661,8191,8334
1500800,Ananindeua (PA),0.8952,470425,417894,3219
1500859,Anapu (PA),0.6291,20477,11733,1149
1500909,Augusto Corrêa (PA),0.8328,40459,32609,1086
1500958,Aurora do Pará (PA),0.7140,26486,18269,643
1501006,Aveiro (PA),0.5864,15798,5652,3612
1501105,Bagre (PA),0.6316,21797,9573,4193
