Codigo,Nome,Indice,Total,Coletado
1100015,Alta Floresta D'Oeste (RO),0.5513,24054,13260
1100023,Ariquemes (RO),0.8535,89635,76507
1100031,Cabixi (RO),0.4751,6298,2992
1100049,Cacoal (RO),0.7765,78282,60785
1100056,Cerejeiras (RO),0.7786,16934,13184
1100064,Colorado do Oeste (RO),0.6825,18524,12642
1100072,Corumbiara (RO),0.3667,8626,3163
1100080,Costa Marques (RO),0.5531,13466,7448
1100098,Espigão D'Oeste (RO),0.6514,28538,18591
1100106,Guajará-Mirim (RO),0.7712,40012,30858
1100114,Jaru (RO),0.7043,51739,36441
1100122,Ji-Paraná (RO),0.8617,115740,99737
1100130,Machadinho D'Oeste (RO),0.4899,30996,15185
1100148,Nova Brasilândia D'Oeste (RO),0.4065,19645,7985
1100155,Ouro Preto do Oeste (RO),0.7389,37685,27846
1100189,Pimenta Bueno (RO),0.8524,33554,28603
1100205,Porto Velho (RO),0.8950,419909,375834
1100254,Presidente Médici (RO),0.5570,22199,12365
1100262,Rio Crespo (RO),0.3443,3285,1131
1100288,Rolim de Moura (RO),0.8262,50230,41500
1100296,Santa Luzia D'Oeste (RO),0.3964,8836,3503
1100304,Vilhena (RO),0.9359,75472,70637
1100320,São Miguel do Guaporé (RO),0.4376,21699,9496
1100338,Nova Mamoré (RO),0.4627,22306,10322
1100346,Alvorada D'Oeste (RO),0.5012,16677,8358
1100379,Alto Alegre dos Parecis (RO),0.3617,12758,4615
1100403,Alto Paraíso (RO),0.4216,17098,7209
1100452,Buritis (RO),0.6360,32206,20482
1100502,Novo Horizonte do Oeste (RO),0.3228,10199,3292
1100601,Cacaulândia (RO),0.3551,5719,2031
1100700,Campo Novo de Rondônia (RO),0.2594,12612,3272
1100809,Candeias do Jamari (RO),0.5908,19698,11638
1100908,Castanheiras (RO),0.2501,3546,887
1100924,Chupinguaia (RO),0.5862,8033,4709
1100940,Cujubim (RO),0.6065,15744,9548
1101005,Governador Jorge Teixeira (RO),0.2498,10480,2618
1101104,Itapuã do Oeste (RO),0.5623,8473,4764
1101203,Ministro Andreazza (RO),0.3636,10342,3760
1101302,Mirante da Serra (RO),0.4808,11874,5709
1101401,Monte Negro (RO),0.4506,14008,6312
1101435,Nova União (RO),0.2137,7483,1599
1101450,Parecis (RO),0.3770,4758,1794
1101468,Pimenteiras do Oeste (RO),0.5200,2277,1184
1101476,Primavera de Rondônia (RO),0.4332,3497,1515
1101484,São Felipe D'Oeste (RO),0.3139,5995,1882
1101492,São Francisco do Guaporé (RO),0.4504,15976,7196
1101500,Seringueiras (RO),0.3820,11475,4383
1101559,Teixeirópolis (RO),0.3221,4849,1562
1101609,Theobroma (RO),0.2287,10316,2359
1101708,Urupá (RO),0.3705,12911,4784
1101757,Vale do Anari (RO),0.3190,9370,2989
1101807,Vale do Paraíso (RO),0.3158,8182,2584
1200013,Acrelândia (AC),0.4736,12489,5915
1200054,Assis Brasil (AC),0.5734,6017,3450
1200104,Brasiléia (AC),0.6438,21275,13697
1200138,Bujari (AC),0.4656,8420,3920
1200179,Capixaba (AC),0.4393,8762,3849
1200203,Cruzeiro do Sul (AC),0.6527,77956,50885
1200252,Epitaciolândia (AC),0.6688,15005,10036
1200302,Feijó (AC),0.4639,32251,14962
1200328,Jordão (AC),0.3504,6555,2297
1200336,Mâncio Lima (AC),0.4787,15128,7242
1200344,Manoel Urbano (AC),0.4931,7941,3916
1200351,Marechal Thaumaturgo (AC),0.2881,14170,4083
1200385,Plácido de Castro (AC),0.5405,17132,9260
1200393,Porto Walter (AC),0.1860,9088,1690
1200401,Rio Branco (AC),0.9250,333241,308239
1200427,Rodrigues Alves (AC),0.3606,14343,5172
1200435,Santa Rosa do Purus (AC),0.3576,4676,1672
1200450,Senador Guiomard (AC),0.6273,20054,12579
1200500,Sena Madureira (AC),0.6033,37834,22827
1200609,Tarauacá (AC),0.4477,35397,15847
1200708,Xapuri (AC),0.6103,16034,9786
1200807,Porto Acre (AC),0.5005,14842,7429
1300029,Alvarães (AM),0.4951,14043,6953
1300060,Amaturá (AM),0.3712,9367,3477
1300086,Anamã (AM),0.3981,10174,4050
1300102,Anori (AM),0.4660,16252,7574
1300144,Apuí (AM),0.5338,17898,9554
1300201,Atalaia do Norte (AM),0.2655,15071,4002
1300300,Autazes (AM),0.4631,31951,14796
1300409,Barcelos (AM),0.4497,23103,10390
1300508,Barreirinha (AM),0.3032,27211,8250
1300607,Benjamin Constant (AM),0.4759,32923,15668
1300631,Beruri (AM),0.3770,15475,5834
1300680,Boa Vista do Ramos (AM),0.4436,14856,6590
1300706,Boca do Acre (AM),0.4751,30370,14428
1300805,Borba (AM),0.4632,34885,16157
