Codigo,Nome,Indice,Total,Existe,Não existe,Sem declaração
1100015,Alta Floresta D'Oeste (RO),0.8351,13804,11528,1826,450
1100023,Ariquemes (RO),0.9222,69068,63697,5251,120
1100031,Cabixi (RO),0.8855,2689,2381,285,23
1100049,Cacoal (RO),0.9722,61699,59985,1559,155
1100056,Cerejeiras (RO),0.9469,13755,13025,730,0
1100064,Colorado do Oeste (RO),0.8656,13404,11603,1782,19
1100072,Corumbiara (RO),0.7870,2559,2014,545,0
1100080,Costa Marques (RO),0.8315,7366,6125,1241,0
1100098,Espigão D'Oeste (RO),0.9210,19649,18096,1489,64
1100106,Guajará-Mirim (RO),0.7914,34686,27450,7233,3
1100114,Jaru (RO),0.8615,38030,32763,5089,178
1100122,Ji-Paraná (RO),0.8645,96860,83740,12803,317
1100130,Machadinho D'Oeste (RO),0.7754,14825,11495,3324,6
1100148,Nova Brasilândia D'Oeste (RO),0.3181,8243,2622,5621,0
1100155,Ouro Preto do Oeste (RO),0.9563,27980,26756,1224,0
1100189,Pimenta Bueno (RO),0.9596,29200,28019,1152,29
1100205,Porto Velho (RO),0.8110,387189,314025,72060,1104
1100254,Presidente Médici (RO),0.9404,13228,12439,789,0
1100262,Rio Crespo (RO),0.7688,1064,818,246,0
1100288,Rolim de Moura (RO),0.9187,41063,37724,3231,108
1100296,Santa Luzia D'Oeste (RO),0.8482,2984,2531,453,0
1100304,Vilhena (RO),0.8908,64322,57300,6796,226
1100320,São Miguel do Guaporé (RO),0.8603,8392,7220,1000,172
1100338,Nova Mamoré (RO),0.5850,13688,8008,5603,77
1100346,Alvorada D'Oeste (RO),0.8884,8763,7785,978,0
1100379,Alto Alegre dos Parecis (RO),0.6356,3628,2306,1273,49
1100403,Alto Paraíso (RO),0.8639,3299,2850,434,15
1100452,Buritis (RO),0.6207,20932,12993,7916,23
1100502,Novo Horizonte do Oeste (RO),0.6439,1727,1112,598,17
1100601,Cacaulândia (RO),0.9102,2060,1875,179,6
1100700,Campo Novo de Rondônia (RO),0.6420,3349,2150,1199,0
