Codigo,Nome,Indice,Total,Existe,Não existe,Sem declaração
1100015,Alta Floresta D'Oeste (RO),0.278180238,13804,3840,9514,450
1100023,Ariquemes (RO),0.830066022,69068,57331,11617,120
1100031,Cabixi (RO),0.566381554,2689,1523,1143,23
1100049,Cacoal (RO),0.415420023,61699,25631,35913,155
1100056,Cerejeiras (RO),0.169829153,13755,2336,11419,0
1100064,Colorado do Oeste (RO),0.282676813,13404,3789,9596,19
1100072,Corumbiara (RO),0.294646346,2559,754,1805,0
1100080,Costa Marques (RO),0.109828944,7366,809,6557,0
1100098,Espigão D'Oeste (RO),0.415593669,19649,8166,11419,64
1100106,Guajará-Mirim (RO),0.368967307,34686,12798,21885,3
1100114,Jaru (RO),0.306863003,38030,11670,26182,178
1100122,Ji-Paraná (RO),0.284028495,96860,27511,69032,317
1100130,Machadinho D'Oeste (RO),0.460168634,14825,6822,7997,6
1100148,Nova Brasilândia D'Oeste (RO),0.2860609,8243,2358,5885,0
1100155,Ouro Preto do Oeste (RO),0.36915654,27980,10329,17651,0
1100189,Pimenta Bueno (RO),0.375582192,29200,10967,18204,29
1100205,Porto Velho (RO),0.473017054,387189,183147,202938,1104
1100254,Presidente Médici (RO),0.441790142,13228,5844,7384,0
1100262,Rio Crespo (RO),0.564849624,1064,601,463,0
1100288,Rolim de Moura (RO),0.309061686,41063,12691,28264,108
1100296,Santa Luzia D'Oeste (RO),0.3230563,2984,964,2020,0
1100304,Vilhena (RO),0.350222319,64322,22527,41569,226
1100320,São Miguel do Guaporé (RO),0.213298379,8392,1790,6430,172
1100338,Nova Mamoré (RO),0.156268264,13688,2139,11472,77
1100346,Alvorada D'Oeste (RO),0.274791738,8763,2408,6355,0
1100379,Alto Alegre dos Parecis (RO),0.306229327,3628,1111,2468,49
1100403,Alto Paraíso (RO),0.437708396,3299,1444,1840,15
1100452,Buritis (RO),0.110405121,20932,2311,18598,23
1100502,Novo Horizonte do Oeste (RO),0.437753329,1727,756,954,17
1100601,Cacaulândia (RO),0.219417476,2060,452,1602,6
1100700,Campo Novo de Rondônia (RO),0.123618991,3349,414,2935,0
1100809,Candeias do Jamari (RO),0.405394333,14645,5937,8560,148
1100908,Castanheiras (RO),0.502398082,834,419,415,0
1100924,Chupinguaia (RO),0.163197336,3603,588,2988,27
1100940,Cujubim (RO),0.133570387,10968,1465,9497,6
1101005,Governador Jorge Teixeira (RO),0.327674024,2356,772,1555,29
1101104,Itapuã do Oeste (RO),0.023740027,5139,122,4568,449
1101203,Ministro Andreazza (RO),0.628255208,3072,1930,1142,0
1101302,Mirante da Serra (RO),0.150062073,6444,967,5477,0
1101401,Monte Negro (RO),0.270620314,7335,1985,2766,2584
1101435,Nova União (RO),0.4473342,1538,688,850,0
1101450,Parecis (RO),0.054007959,1759,95,1664,0
1101468,Pimenteiras do Oeste (RO),0.191153239,1266,242,1024,0
1101476,Primavera de Rondônia (RO),0.575590551,1270,731,530,9
1101484,São Felipe D'Oeste (RO),0.328690808,1436,472,746,218
1101492,São Francisco do Guaporé (RO),0.085965126,8201,705,7496,0
1101500,Seringueiras (RO),0.238149499,4388,1045,3212,131
1101559,Teixeirópolis (RO),0.476694915,1416,675,741,0
1101609,Theobroma (RO),0.487755102,1960,956,1004,0
1101708,Urupá (RO),0.309094473,5102,1577,3525,0
1101757,Vale do Anari (RO),0.274122807,3192,875,2317,0
1101807,Vale do Paraíso (RO),0.108619173,2274,247,2027,0
