Codigo,Nome,Indice,Total,Existe,Não existe,Sem declaração
1100015,Alta Floresta D'Oeste (RO),0.076499565,13804,1056,12298,450
1100023,Ariquemes (RO),0.387777263,69068,26783,42165,120
1100031,Cabixi (RO),0.053923392,2689,145,2521,23
1100049,Cacoal (RO),0.293165205,61699,18088,43456,155
1100056,Cerejeiras (RO),0.044202108,13755,608,13147,0
1100064,Colorado do Oeste (RO),0.07937929,13404,1064,12321,19
1100072,Corumbiara (RO),0.097694412,2559,250,2309,0
1100080,Costa Marques (RO),0.024436601,7366,180,7186,0
1100098,Espigão D'Oeste (RO),0.151407196,19649,2975,16610,64
1100106,Guajará-Mirim (RO),0.078965577,34686,2739,31944,3
1100114,Jaru (RO),0.159426768,38030,6063,31789,178
1100122,Ji-Paraná (RO),0.22477803,96860,21772,74771,317
1100130,Machadinho D'Oeste (RO),0.061652614,14825,914,13905,6
1100148,Nova Brasilândia D'Oeste (RO),0.064660924,8243,533,7710,0
1100155,Ouro Preto do Oeste (RO),0.278984989,27980,7806,20174,0
1100189,Pimenta Bueno (RO),0.123767123,29200,3614,25557,29
1100205,Porto Velho (RO),0.399853818,387189,154819,231266,1104
1100254,Presidente Médici (RO),0.189975809,13228,2513,10715,0
1100262,Rio Crespo (RO),0.046052632,1064,49,1015,0
1100288,Rolim de Moura (RO),0.063828751,41063,2621,38334,108
1100296,Santa Luzia D'Oeste (RO),0.016085791,2984,48,2936,0
1100304,Vilhena (RO),0.276717142,64322,17799,46297,226
1100320,São Miguel do Guaporé (RO),0.053265014,8392,447,7773,172
1100338,Nova Mamoré (RO),0.00883986,13688,121,13490,77
1100346,Alvorada D'Oeste (RO),0.119593746,8763,1048,7715,0
1100379,Alto Alegre dos Parecis (RO),0.05016538,3628,182,3397,49
1100403,Alto Paraíso (RO),0.048499545,3299,160,3124,15
1100452,Buritis (RO),0.026657749,20932,558,20351,23
1100502,Novo Horizonte do Oeste (RO),0.029530979,1727,51,1659,17
1100601,Cacaulândia (RO),0.036407767,2060,75,1979,6
1100700,Campo Novo de Rondônia (RO),0.003881756,3349,13,3336,0
1100809,Candeias do Jamari (RO),0.080232161,14645,1175,13322,148
1100908,Castanheiras (RO),0.116306954,834,97,737,0
1100924,Chupinguaia (RO),0.021093533,3603,76,3500,27
1100940,Cujubim (RO),0.010393873,10968,114,10848,6
1101005,Governador Jorge Teixeira (RO),0.117572156,2356,277,2050,29
1101104,Itapuã do Oeste (RO),0,5139,0,4690,449
1101203,Ministro Andreazza (RO),0.273111979,3072,839,2233,0
1101302,Mirante da Serra (RO),0.055865922,6444,360,6084,0
1101401,Monte Negro (RO),0.090661213,7335,665,4086,2584
1101435,Nova União (RO),0.152145644,1538,234,1304,0
1101450,Parecis (RO),0.021603184,1759,38,1721,0
1101468,Pimenteiras do Oeste (RO),0.073459716,1266,93,1173,0
1101476,Primavera de Rondônia (RO),0.007874016,1270,10,1251,9
1101484,São Felipe D'Oeste (RO),0.052924791,1436,76,1142,218
1101492,São Francisco do Guaporé (RO),0.010974271,8201,90,8111,0
1101500,Seringueiras (RO),0.003418414,4388,15,4242,131
1101559,Teixeirópolis (RO),0.150423729,1416,213,1203,0
1101609,Theobroma (RO),0.078571429,1960,154,1806,0
1101708,Urupá (RO),0.218933751,5102,1117,3985,0
1101757,Vale do Anari (RO),0.04887218,3192,156,3036,0
1101807,Vale do Paraíso (RO),0.036939314,2274,84,2190,0
1200013,Acrelândia (AC),0.146899356,5902,867,5007,28
1200054,Assis Brasil (AC),0.108737332,3651,397,3254,0
1200104,Brasiléia (AC),0.138417874,13741,1902,11725,114
1200138,Bujari (AC),0.174715138,3686,644,2705,337
1200179,Capixaba (AC),0.111483871,3875,432,3443,0
1200203,Cruzeiro do Sul (AC),0.111801122,51851,5797,45518,536
1200252,Epitaciolândia (AC),0.19471408,10405,2026,8332,47
1200302,Feijó (AC),0.111251885,16575,1844,14672,59
1200328,Jordão (AC),0.124226348,2262,281,1981,0
1200336,Mâncio Lima (AC),0.150538867,8722,1313,7409,0
1200344,Manoel Urbano (AC),0.039779216,5254,209,5045,0
1200351,Marechal Thaumaturgo (AC),0.025550215,3953,101,3812,40
1200385,Plácido de Castro (AC),0.02273167,10338,235,10016,87
1200393,Porto Walter (AC),0.08137045,3269,266,3003,0
1200401,Rio Branco (AC),0.297851259,295708,88077,205970,1661
1200427,Rodrigues Alves (AC),0.245703669,4306,1058,3236,12
1200435,Santa Rosa do Purus (AC),0.180607352,1877,339,1538,0
1200450,Senador Guiomard (AC),0.188020627,12605,2370,10223,12
1200500,Sena Madureira (AC),0.080334622,23788,1911,21857,20
1200609,Tarauacá (AC),0.043315045,17315,750,16565,0
1200708,Xapuri (AC),0.049870595,10046,501,9545,0
1200807,Porto Acre (AC),0.035389282,1978,70,1908,0
1300029,Alvarães (AM),0.132900102,7848,1043,6731,74
1300060,Amaturá (AM),0.007806081,4868,38,4830,0
1300086,Anamã (AM),0.604483008,4149,2508,1641,0
1300102,Anori (AM),0.023055333,9976,230,9698,48
1300144,Apuí (AM),0.010531309,10540,111,10401,28
1300201,Atalaia do Norte (AM),0,6838,0,6838,0
1300300,Autazes (AM),0.155864869,13794,2150,11483,161
1300409,Barcelos (AM),0.325566462,10901,3549,7348,4
