Codigo,Nome,Indice,Total,Existe,Não existe,Sem declaração
1100015,Alta Floresta D'Oeste (RO),0.27274703,13804,3765,9589,450
1100023,Ariquemes (RO),0.352232582,69068,24328,44620,120
1100031,Cabixi (RO),0.527705467,2689,1419,1247,23
1100049,Cacoal (RO),0.359308903,61699,22169,39375,155
1100056,Cerejeiras (RO),0.161613959,13755,2223,11532,0
1100064,Colorado do Oeste (RO),0.267159057,13404,3581,9804,19
1100072,Corumbiara (RO),0.291129347,2559,745,1814,0
1100080,Costa Marques (RO),0.109285908,7366,805,6561,0
1100098,Espigão D'Oeste (RO),0.380273805,19649,7472,12113,64
1100106,Guajará-Mirim (RO),0.109093006,34686,3784,30899,3
1100114,Jaru (RO),0.292006311,38030,11105,26747,178
1100122,Ji-Paraná (RO),0.249731571,96860,24189,72354,317
1100130,Machadinho D'Oeste (RO),0.443440135,14825,6574,8245,6
1100148,Nova Brasilândia D'Oeste (RO),0.270653888,8243,2231,6012,0
1100155,Ouro Preto do Oeste (RO),0.35768406,27980,10008,17972,0
1100189,Pimenta Bueno (RO),0.373184932,29200,10897,18274,29
1100205,Porto Velho (RO),0.36723409,387189,142189,243896,1104
1100254,Presidente Médici (RO),0.347444814,13228,4596,8632,0
1100262,Rio Crespo (RO),0.564849624,1064,601,463,0
1100288,Rolim de Moura (RO),0.261451915,41063,10736,30219,108
1100296,Santa Luzia D'Oeste (RO),0.315683646,2984,942,2042,0
1100304,Vilhena (RO),0.338251298,64322,21757,42339,226
1100320,São Miguel do Guaporé (RO),0.198045758,8392,1662,6558,172
1100338,Nova Mamoré (RO),0.148524255,13688,2033,11578,77
1100346,Alvorada D'Oeste (RO),0.247860322,8763,2172,6591,0
1100379,Alto Alegre dos Parecis (RO),0.30016538,3628,1089,2490,49
1100403,Alto Paraíso (RO),0.230675962,3299,761,2523,15
1100452,Buritis (RO),0.097410663,20932,2039,18870,23
1100502,Novo Horizonte do Oeste (RO),0.415170816,1727,717,993,17
1100601,Cacaulândia (RO),0.189805825,2060,391,1663,6
1100700,Campo Novo de Rondônia (RO),0.109584951,3349,367,2982,0
1100809,Candeias do Jamari (RO),0.347900307,14645,5095,9402,148
1100908,Castanheiras (RO),0.300959233,834,251,583,0
1100924,Chupinguaia (RO),0.111573689,3603,402,3174,27
1100940,Cujubim (RO),0.11952954,10968,1311,9651,6
1101005,Governador Jorge Teixeira (RO),0.320458404,2356,755,1572,29
1101104,Itapuã do Oeste (RO),0.010313291,5139,53,4637,449
1101203,Ministro Andreazza (RO),0.628255208,3072,1930,1142,0
1101302,Mirante da Serra (RO),0.133767846,6444,862,5582,0
1101401,Monte Negro (RO),0.20927062,7335,1535,3216,2584
1101435,Nova União (RO),0.265279584,1538,408,1130,0
1101450,Parecis (RO),0.043206367,1759,76,1683,0
1101468,Pimenteiras do Oeste (RO),0.16271722,1266,206,1060,0
1101476,Primavera de Rondônia (RO),0.518110236,1270,658,603,9
1101484,São Felipe D'Oeste (RO),0.313370474,1436,450,768,218
1101492,São Francisco do Guaporé (RO),0.08450189,8201,693,7508,0
1101500,Seringueiras (RO),0.233819508,4388,1026,3231,131
1101559,Teixeirópolis (RO),0.382768362,1416,542,874,0
1101609,Theobroma (RO),0.458163265,1960,898,1062,0
1101708,Urupá (RO),0.270286162,5102,1379,3723,0
1101757,Vale do Anari (RO),0.270676692,3192,864,2328,0
1101807,Vale do Paraíso (RO),0.117854002,2274,268,2006,0
1200013,Acrelândia (AC),0.323280244,5902,1908,3966,28
1200054,Assis Brasil (AC),0.347576007,3651,1269,2382,0
1200104,Brasiléia (AC),0.230332581,13741,3165,10462,114
1200138,Bujari (AC),0.584915898,3686,2156,1193,337
1200179,Capixaba (AC),0.250322581,3875,970,2905,0
1200203,Cruzeiro do Sul (AC),0.312915855,51851,16225,35090,536
1200252,Epitaciolândia (AC),0.409706872,10405,4263,6095,47
1200302,Feijó (AC),0.600241327,16575,9949,6567,59
1200328,Jordão (AC),0.374005305,2262,846,1416,0
1200336,Mâncio Lima (AC),0.16475579,8722,1437,7285,0
1200344,Manoel Urbano (AC),0.389417587,5254,2046,3208,0
1200351,Marechal Thaumaturgo (AC),0.408297496,3953,1614,2299,40
1200385,Plácido de Castro (AC),0.376862062,10338,3896,6355,87
1200393,Porto Walter (AC),0.279290303,3269,913,2356,0
1200401,Rio Branco (AC),0.41060438,295708,121419,172628,1661
1200427,Rodrigues Alves (AC),0.537157455,4306,2313,1981,12
1200435,Santa Rosa do Purus (AC),0.62866276,1877,1180,697,0
1200450,Senador Guiomard (AC),0.442602142,12605,5579,7014,12
1200500,Sena Madureira (AC),0.439927695,23788,10465,13303,20
1200609,Tarauacá (AC),0.588391568,17315,10188,7127,0
1200708,Xapuri (AC),0.243479992,10046,2446,7600,0
1200807,Porto Acre (AC),0.397371082,1978,786,1192,0
1300029,Alvarães (AM),0.781727829,7848,6135,1639,74
1300060,Amaturá (AM),0.137222679,4868,668,4200,0
1300086,Anamã (AM),0.788141721,4149,3270,879,0
1300102,Anori (AM),0.184242181,9976,1838,8090,48
1300144,Apuí (AM),0.039848197,10540,420,10092,28
1300201,Atalaia do Norte (AM),0.465633226,6838,3184,3654,0
1300300,Autazes (AM),0.363273887,13794,5011,8622,161
1300409,Barcelos (AM),0.736813136,10901,8032,2865,4
1300508,Barreirinha (AM),0.465092402,11688,5436,6140,112
1300607,Benjamin Constant (AM),0.361919545,15462,5596,9741,125
1300631,Beruri (AM),0.379727296,7774,2952,4822,0
1300680,Boa Vista do Ramos (AM),0.004147157,7475,31,7405,39
1300706,Boca do Acre (AM),0.171910054,19167,3295,15772,100
1300805,Borba (AM),0.414130209,14423,5973,8443,7
1300839,Caapiranga (AM),0.616304135,5103,3145,1958,0
1300904,Canutama (AM),0.084281437,6680,563,6117,0
1301001,Carauari (AM),0.412284048,18349,7565,10315,469
1301100,Careiro (AM),0.67571885,9390,6345,2996,49
1301159,Careiro da Várzea (AM),0.682730924,996,680,316,0
1301209,Coari (AM),0.749973352,46907,35179,11178,550
1301308,Codajás (AM),0.462912523,15787,7308,8479,0
1301407,Eirunepé (AM),0.605361719,20292,12284,7918,90
1301506,Envira (AM),0.550156591,10537,5797,4676,64
1301605,Fonte Boa (AM),0.759899351,15102,11476,3485,141
1301654,Guajará (AM),0.543620502,7336,3988,3183,165
1301704,Humaitá (AM),0.421960939,30363,12812,17532,19
1301803,Ipixuna (AM),0.737037495,8081,5956,2082,43
1301852,Iranduba (AM),0.344506389,28879,9949,17848,1082
1301902,Itacoatiara (AM),0.472586443,57581,27212,29530,839
1301951,Itamarati (AM),0.478533095,4472,2140,2332,0
1302009,Itapiranga (AM),0.822236181,6368,5236,1019,113
1302108,Japurá (AM),0.479443586,3235,1551,1684,0
1302207,Juruá (AM),0.90521494,5676,5138,538,0
1302306,Jutaí (AM),0.357563664,10524,3763,6761,0
1302405,Lábrea (AM),0.341156855,23391,7980,15267,144
1302504,Manacapuru (AM),0.457684644,59222,27105,32072,45
1302553,Manaquiri (AM),0.345065364,6961,2402,4559,0
1302603,Manaus (AM),0.735479141,1760829,1295053,381993,83783
1302702,Manicoré (AM),0.299184984,20245,6057,14075,113
1302801,Maraã (AM),0.731129918,8744,6393,2351,0
1302900,Maués (AM),0.398201145,25683,10227,15239,217
1303007,Nhamundá (AM),0.906866953,6990,6339,651,0
1303106,Nova Olinda do Norte (AM),0.090012512,13587,1223,12364,0
1303205,Novo Airão (AM),0.235088463,9439,2219,7220,0
1303304,Novo Aripuanã (AM),0.218683045,14002,3062,10699,241
1303403,Parintins (AM),0.9238986,58698,54231,4467,0
1303502,Pauini (AM),0.434688111,9202,4000,5015,187
1303536,Presidente Figueiredo (AM),0.864088909,12957,11196,1604,157
1303569,Rio Preto da Eva (AM),0.574028327,12144,6971,5173,0
1303601,Santa Isabel do Rio Negro (AM),0.18799647,6798,1278,5407,113
1303700,Santo Antônio do Içá (AM),0.389182879,12850,5001,7761,88
1303809,São Gabriel da Cachoeira (AM),0.671735905,18872,12677,6131,64
1303908,São Paulo de Olivença (AM),0.462517581,14220,6577,7164,479
1303957,São Sebastião do Uatumã (AM),0.367839538,5883,2164,3691,28
1304005,Silves (AM),0.87375498,4016,3509,483,24
1304062,Tabatinga (AM),0.270653925,35998,9743,25584,671
1304104,Tapauá (AM),0.436190296,10594,4621,5973,0
1304203,Tefé (AM),0.659688674,48438,31954,15798,686
1304237,Tonantins (AM),0.508714719,8893,4524,4219,150
1304260,Uarini (AM),0.779915815,6652,5188,1445,19
1304302,Urucará (AM),0.731647883,9849,7206,2643,0
1304401,Urucurituba (AM),0.673835471,10369,6987,3373,9
1400027,Amajari (RR),0.572249589,1218,697,521,0
1400050,Alto Alegre (RR),0.573856483,4766,2735,1925,106
1400100,Boa Vista (RR),0.153886284,276022,42476,232005,1541
1400159,Bonfim (RR),0.373707131,3674,1373,2286,15
1400175,Cantá (RR),0.798132503,2249,1795,395,59
1400209,Caracaraí (RR),0.799295775,10792,8626,2094,72
1400233,Caroebe (RR),0.681495212,3237,2206,964,67
1400282,Iracema (RR),0.720981595,4075,2938,1137,0
1400308,Mucajaí (RR),0.346218866,8873,3072,5799,2
1400407,Normandia (RR),0.307792773,2297,707,1553,37
1400456,Pacaraima (RR),0.647623298,4481,2902,1579,0
1400472,Rorainópolis (RR),0.543249342,10636,5778,4854,4
1400506,São João da Baliza (RR),0.361724724,4708,1703,3005,0
1400605,São Luiz (RR),0.589806915,4454,2627,1827,0
1400704,Uiramutã (RR),0.491183879,794,390,344,60
1500107,Abaetetuba (PA),0.374704663,82956,31084,51811,61
1500131,Abel Figueiredo (PA),0.520506836,5998,3122,2876,0
1500206,Acará (PA),0.152422558,12590,1919,10599,72
1500305,Afuá (PA),0,9408,0,9304,104
1500347,Água Azul do Norte (PA),0.144686649,7340,1062,6225,53
1500404,Alenquer (PA),0.106219022,27641,2936,24695,10
1500503,Almeirim (PA),0.185536962,19899,3692,16087,120
1500602,Altamira (PA),0.445793876,79622,35495,43787,340
1500701,Anajás (PA),0.003176956,9443,30,9399,14
1500800,Ananindeua (PA),0.479639864,461048,221137,238365,1546
1500859,Anapu (PA),0.021320004,9803,209,9590,4
1500909,Augusto Corrêa (PA),0.327537981,18233,5972,12133,128
1500958,Aurora do Pará (PA),0.169649424,8158,1384,6527,247
1501006,Aveiro (PA),0.136002121,3772,513,3170,89
1501105,Bagre (PA),0.034313725,10608,364,10244,0
1501204,Baião (PA),0.208540541,18500,3858,14522,120
1501253,Bannach (PA),0.053343949,1256,67,1189,0
1501303,Barcarena (PA),0.24123444,38560,9302,28903,355
1501402,Belém (PA),0.519734849,1370089,712083,650220,7786
1501451,Belterra (PA),0.09487666,6851,650,6182,19
1501501,Benevides (PA),0.122765725,29316,3599,25546,171
1501576,Bom Jesus do Tocantins (PA),0.230484647,8109,1869,6219,21
1501600,Bonito (PA),0.28130719,3825,1076,2749,0
1501709,Bragança (PA),0.242845304,72400,17582,54818,0
1501725,Brasil Novo (PA),0.166981269,6887,1150,5727,10
1501758,Brejo Grande do Araguaia (PA),0.375290293,4306,1616,2690,0
1501782,Breu Branco (PA),0.16912192,29257,4948,24309,0
1501808,Breves (PA),0.061470202,46429,2854,43562,13
1501907,Bujaru (PA),0.12970297,8080,1048,7032,0
1501956,Cachoeira do Piriá (PA),0.087287215,5522,482,5012,28
1502004,Cachoeira do Arari (PA),0.002328129,7302,17,7236,49
1502103,Cametá (PA),0.233734985,52782,12337,40409,36
1502152,Canaã dos Carajás (PA),0.305835107,20668,6321,12574,1773
1502202,Capanema (PA),0.522545746,51207,26758,24160,289
1502301,Capitão Poço (PA),0.26741573,21360,5712,15648,0
1502400,Castanhal (PA),0.529176435,153977,81481,72315,181
1502509,Chaves (PA),0.17340809,2497,433,1875,189
1502608,Colares (PA),0.284348539,3661,1041,2618,2
1502707,Conceição do Araguaia (PA),0.370589511,32281,11963,20120,198
1502756,Concórdia do Pará (PA),0.121879979,15064,1836,13221,7
1502764,Cumaru do Norte (PA),0.266146993,2694,717,1970,7
1502772,Curionópolis (PA),0.370284527,12512,4633,7879,0
1502806,Curralinho (PA),0.100606395,10884,1095,9347,442
1502855,Curuá (PA),0.470950103,5852,2756,3053,43
1502905,Curuçá (PA),0.218177336,12169,2655,9482,32
1502939,Dom Eliseu (PA),0.239106182,30476,7287,23127,62
