Codigo,Nome,Indice,Total,Existe,Não existe,Sem declaração
1100015,Alta Floresta D'Oeste (RO),0.028687337,13804,396,12958,450
1100023,Ariquemes (RO),0.139630509,69068,9644,59304,120
1100031,Cabixi (RO),0,2689,0,2666,23
1100049,Cacoal (RO),0.219387672,61699,13536,48008,155
1100056,Cerejeiras (RO),0.065576154,13755,902,12853,0
1100064,Colorado do Oeste (RO),0.145926589,13404,1956,11429,19
1100072,Corumbiara (RO),0.005470887,2559,14,2545,0
1100080,Costa Marques (RO),0,7366,0,7366,0
1100098,Espigão D'Oeste (RO),0.094355947,19649,1854,17731,64
1100106,Guajará-Mirim (RO),0.07259413,34686,2518,32165,3
1100114,Jaru (RO),0.073783855,38030,2806,35046,178
1100122,Ji-Paraná (RO),0.08144745,96860,7889,88654,317
1100130,Machadinho D'Oeste (RO),0.041416526,14825,614,14205,6
1100148,Nova Brasilândia D'Oeste (RO),0.03214849,8243,265,7978,0
1100155,Ouro Preto do Oeste (RO),0.085847034,27980,2402,25578,0
1100189,Pimenta Bueno (RO),0.291917808,29200,8524,20647,29
1100205,Porto Velho (RO),0.324820695,387189,125767,260318,1104
1100254,Presidente Médici (RO),0.248185667,13228,3283,9945,0
1100262,Rio Crespo (RO),0.018796992,1064,20,1044,0
1100288,Rolim de Moura (RO),0.062586757,41063,2570,38385,108
1100296,Santa Luzia D'Oeste (RO),0.297587131,2984,888,2096,0
1100304,Vilhena (RO),0.206523429,64322,13284,50812,226
1100320,São Miguel do Guaporé (RO),0.018469971,8392,155,8065,172
1100338,Nova Mamoré (RO),0.017606663,13688,241,13370,77
1100346,Alvorada D'Oeste (RO),0.02145384,8763,188,8575,0
1100379,Alto Alegre dos Parecis (RO),0.02646086,3628,96,3483,49
1100403,Alto Paraíso (RO),0.025765383,3299,85,3199,15
1100452,Buritis (RO),0.040225492,20932,842,20067,23
1100502,Novo Horizonte do Oeste (RO),0.030689056,1727,53,1657,17
1100601,Cacaulândia (RO),0.040776699,2060,84,1970,6
1100700,Campo Novo de Rondônia (RO),0.07196178,3349,241,3108,0
1100809,Candeias do Jamari (RO),0.086514169,14645,1267,13230,148
1100908,Castanheiras (RO),0.005995204,834,5,829,0
1100924,Chupinguaia (RO),0.042742159,3603,154,3422,27
1100940,Cujubim (RO),0,10968,0,10962,6
1101005,Governador Jorge Teixeira (RO),0.019524618,2356,46,2281,29
1101104,Itapuã do Oeste (RO),0,5139,0,4690,449
