Codigo,Nome,Indice,Total,Existe,Não existe,Sem declaração
1100015,Alta Floresta D'Oeste (RO),0.00130397,13804,18,13336,450
1100023,Ariquemes (RO),0.004517287,69068,312,68636,120
1100031,Cabixi (RO),0,2689,0,2666,23
1100049,Cacoal (RO),0.01037294,61699,640,60904,155
1100056,Cerejeiras (RO),0.004071247,13755,56,13699,0
1100064,Colorado do Oeste (RO),0,13404,0,13385,19
1100072,Corumbiara (RO),0,2559,0,2559,0
1100080,Costa Marques (RO),0.001900624,7366,14,7352,0
1100098,Espigão D'Oeste (RO),0.004987531,19649,98,19487,64
1100106,Guajará-Mirim (RO),0.004901113,34686,170,34513,3
1100114,Jaru (RO),0.009886931,38030,376,37476,178
1100122,Ji-Paraná (RO),0.024354739,96860,2359,94184,317
1100130,Machadinho D'Oeste (RO),0.00222597,14825,33,14786,6
1100148,Nova Brasilândia D'Oeste (RO),0.001577096,8243,13,8230,0
1100155,Ouro Preto do Oeste (RO),0.045067906,27980,1261,26719,0
1100189,Pimenta Bueno (RO),0,29200,0,29171,29
1100205,Porto Velho (RO),0.010369613,387189,4015,382070,1104
1100254,Presidente Médici (RO),0.075521621,13228,999,12229,0
1100262,Rio Crespo (RO),0,1064,0,1064,0
1100288,Rolim de Moura (RO),0.00319022,41063,131,40824,108
1100296,Santa Luzia D'Oeste (RO),0.011058981,2984,33,2951,0
1100304,Vilhena (RO),0.010214235,64322,657,63439,226
1100320,São Miguel do Guaporé (RO),0.002859867,8392,24,8196,172
1100338,Nova Mamoré (RO),0.000511397,13688,7,13604,77
1100346,Alvorada D'Oeste (RO),0.0995093,8763,872,7891,0
1100379,Alto Alegre dos Parecis (RO),0.003858875,3628,14,3565,49
1100403,Alto Paraíso (RO),0.001515611,3299,5,3279,15
1100452,Buritis (RO),0.002149818,20932,45,20864,23
1100502,Novo Horizonte do Oeste (RO),0.020845397,1727,36,1674,17
1100601,Cacaulândia (RO),0,2060,0,2054,6
1100700,Campo Novo de Rondônia (RO),0.001194386,3349,4,3345,0
1100809,Candeias do Jamari (RO),0.000273131,14645,4,14493,148
1100908,Castanheiras (RO),0,834,0,834,0
1100924,Chupinguaia (RO),0,3603,0,3576,27
1100940,Cujubim (RO),0,10968,0,10962,6
1101005,Governador Jorge Teixeira (RO),0,2356,0,2327,29
1101104,Itapuã do Oeste (RO),0,5139,0,4690,449
1101203,Ministro Andreazza (RO),0.000651042,3072,2,3070,0
1101302,Mirante da Serra (RO),0.01396648,6444,90,6354,0
1101401,Monte Negro (RO),0.018541241,7335,136,4615,2584
1101435,Nova União (RO),0.121586476,1538,187,1351,0
1101450,Parecis (RO),0,1759,0,1759,0
1101468,Pimenteiras do Oeste (RO),0.010268562,1266,13,1253,0
1101476,Primavera de Rondônia (RO),0,1270,0,1261,9
1101484,São Felipe D'Oeste (RO),0,1436,0,1218,218
1101492,São Francisco do Guaporé (RO),0.001829045,8201,15,8186,0
1101500,Seringueiras (RO),0.005469462,4388,24,4233,131
1101559,Teixeirópolis (RO),0.069915254,1416,99,1317,0
1101609,Theobroma (RO),0.01122449,1960,22,1938,0
1101708,Urupá (RO),0.039396315,5102,201,4901,0
1101757,Vale do Anari (RO),0.012844612,3192,41,3151,0
1101807,Vale do Paraíso (RO),0,2274,0,2274,0
1200013,Acrelândia (AC),0.021009827,5902,124,5750,28
1200054,Assis Brasil (AC),0.054231717,3651,198,3453,0
1200104,Brasiléia (AC),0.006768066,13741,93,13534,114
1200138,Bujari (AC),0.011665762,3686,43,3306,337
1200179,Capixaba (AC),0.070451613,3875,273,3602,0
1200203,Cruzeiro do Sul (AC),0.008273707,51851,429,50886,536
1200252,Epitaciolândia (AC),0.000672753,10405,7,10351,47
1200302,Feijó (AC),0,16575,0,16516,59
1200328,Jordão (AC),0,2262,0,2262,0
1200336,Mâncio Lima (AC),0.017427196,8722,152,8570,0
1200344,Manoel Urbano (AC),0,5254,0,5254,0
1200351,Marechal Thaumaturgo (AC),0,3953,0,3913,40
1200385,Plácido de Castro (AC),0,10338,0,10251,87
1200393,Porto Walter (AC),0,3269,0,3269,0
1200401,Rio Branco (AC),0.064587363,295708,19099,274948,1661
1200427,Rodrigues Alves (AC),0,4306,0,4294,12
1200435,Santa Rosa do Purus (AC),0,1877,0,1877,0
1200450,Senador Guiomard (AC),0.010472035,12605,132,12461,12
1200500,Sena Madureira (AC),0.00063057,23788,15,23753,20
1200609,Tarauacá (AC),0.005197805,17315,90,17225,0
1200708,Xapuri (AC),0.014433605,10046,145,9901,0
1200807,Porto Acre (AC),0,1978,0,1978,0
1300029,Alvarães (AM),0,7848,0,7774,74
1300060,Amaturá (AM),0,4868,0,4868,0
1300086,Anamã (AM),0.015184382,4149,63,4086,0
1300102,Anori (AM),0.01042502,9976,104,9824,48
1300144,Apuí (AM),0,10540,0,10512,28
1300201,Atalaia do Norte (AM),0,6838,0,6838,0
1300300,Autazes (AM),0.000652458,13794,9,13624,161
1300409,Barcelos (AM),0.015227961,10901,166,10731,4
1300508,Barreirinha (AM),0,11688,0,11576,112
1300607,Benjamin Constant (AM),0.002004915,15462,31,15306,125
1300631,Beruri (AM),0,7774,0,7774,0
1300680,Boa Vista do Ramos (AM),0,7475,0,7436,39
1300706,Boca do Acre (AM),0.001460844,19167,28,19039,100
1300805,Borba (AM),0.038549539,14423,556,13860,7
1300839,Caapiranga (AM),0.010973937,5103,56,5047,0
1300904,Canutama (AM),0,6680,0,6680,0
1301001,Carauari (AM),0.007193853,18349,132,17748,469
1301100,Careiro (AM),0.005218317,9390,49,9292,49
1301159,Careiro da Várzea (AM),0.088353414,996,88,908,0
1301209,Coari (AM),0.020188884,46907,947,45410,550
1301308,Codajás (AM),0,15787,0,15787,0
1301407,Eirunepé (AM),0.004533806,20292,92,20110,90
1301506,Envira (AM),0,10537,0,10473,64
1301605,Fonte Boa (AM),0.009336512,15102,141,14820,141
1301654,Guajará (AM),0.001772083,7336,13,7158,165
1301704,Humaitá (AM),0.000790436,30363,24,30320,19
1301803,Ipixuna (AM),0.028709318,8081,232,7806,43
1301852,Iranduba (AM),0.01679421,28879,485,27312,1082
1301902,Itacoatiara (AM),0.006998836,57581,403,56339,839
1301951,Itamarati (AM),0,4472,0,4472,0
1302009,Itapiranga (AM),0.014290201,6368,91,6164,113
1302108,Japurá (AM),0,3235,0,3235,0
1302207,Juruá (AM),0,5676,0,5676,0
1302306,Jutaí (AM),0,10524,0,10524,0
1302405,Lábrea (AM),0.015604292,23391,365,22882,144
1302504,Manacapuru (AM),0.007328358,59222,434,58743,45
1302553,Manaquiri (AM),0,6961,0,6961,0
1302603,Manaus (AM),0.020588598,1760829,36253,1640793,83783
1302702,Manicoré (AM),0.014522104,20245,294,19838,113
1302801,Maraã (AM),0,8744,0,8744,0
1302900,Maués (AM),0.000428299,25683,11,25455,217
1303007,Nhamundá (AM),0.386409156,6990,2701,4289,0
1303106,Nova Olinda do Norte (AM),0.001619195,13587,22,13565,0
1303205,Novo Airão (AM),0.00402585,9439,38,9401,0
1303304,Novo Aripuanã (AM),0,14002,0,13761,241
1303403,Parintins (AM),0.004497598,58698,264,58434,0
1303502,Pauini (AM),0.025972615,9202,239,8776,187
1303536,Presidente Figueiredo (AM),0.003858918,12957,50,12750,157
1303569,Rio Preto da Eva (AM),0.001811594,12144,22,12122,0
1303601,Santa Isabel do Rio Negro (AM),0.001176817,6798,8,6677,113
1303700,Santo Antônio do Içá (AM),7.7821E-05,12850,1,12761,88
1303809,São Gabriel da Cachoeira (AM),0.005245867,18872,99,18709,64
1303908,São Paulo de Olivença (AM),0,14220,0,13741,479
1303957,São Sebastião do Uatumã (AM),0.009858916,5883,58,5797,28
1304005,Silves (AM),0,4016,0,3992,24
1304062,Tabatinga (AM),0.001944552,35998,70,35257,671
1304104,Tapauá (AM),0.003775722,10594,40,10554,0
1304203,Tefé (AM),0.002291589,48438,111,47641,686
1304237,Tonantins (AM),0,8893,0,8743,150
1304260,Uarini (AM),0,6652,0,6633,19
1304302,Urucará (AM),0.001421464,9849,14,9835,0
1304401,Urucurituba (AM),0.009740573,10369,101,10259,9
1400027,Amajari (RR),0,1218,0,1218,0
1400050,Alto Alegre (RR),0.004196391,4766,20,4640,106
1400100,Boa Vista (RR),0.019259334,276022,5316,269165,1541
1400159,Bonfim (RR),0,3674,0,3659,15
1400175,Cantá (RR),0,2249,0,2190,59
1400209,Caracaraí (RR),0.171237954,10792,1848,8872,72
1400233,Caroebe (RR),0,3237,0,3170,67
1400282,Iracema (RR),0.30601227,4075,1247,2828,0
1400308,Mucajaí (RR),0,8873,0,8871,2
1400407,Normandia (RR),0,2297,0,2260,37
1400456,Pacaraima (RR),0,4481,0,4481,0
1400472,Rorainópolis (RR),0.009684092,10636,103,10529,4
1400506,São João da Baliza (RR),0.126380629,4708,595,4113,0
1400605,São Luiz (RR),0.00493938,4454,22,4432,0
1400704,Uiramutã (RR),0,794,0,734,60
1500107,Abaetetuba (PA),0.001193404,82956,99,82796,61
1500131,Abel Figueiredo (PA),0.004334778,5998,26,5972,0
1500206,Acará (PA),0.011517077,12590,145,12373,72
1500305,Afuá (PA),0,9408,0,9304,104
1500347,Água Azul do Norte (PA),0,7340,0,7287,53
1500404,Alenquer (PA),0.002170688,27641,60,27571,10
1500503,Almeirim (PA),0.002211166,19899,44,19735,120
1500602,Altamira (PA),0.01529728,79622,1218,78064,340
1500701,Anajás (PA),0,9443,0,9429,14
1500800,Ananindeua (PA),0.005426767,461048,2502,457000,1546
1500859,Anapu (PA),0.013975314,9803,137,9662,4
1500909,Augusto Corrêa (PA),0.000274228,18233,5,18100,128
1500958,Aurora do Pará (PA),0.009070851,8158,74,7837,247
1501006,Aveiro (PA),0,3772,0,3683,89
