Codigo,Nome,Indice,Total,Existe,Não existe,Sem declaração
1100015,Alta Floresta D'Oeste (RO),0.083598957,13804,1154,12200,450
1100023,Ariquemes (RO),0.776452192,69068,53628,15320,120
1100031,Cabixi (RO),0.003718855,2689,10,2656,23
1100049,Cacoal (RO),0.227523947,61699,14038,47506,155
1100056,Cerejeiras (RO),0.386477644,13755,5316,8439,0
1100064,Colorado do Oeste (RO),0.264697105,13404,3548,9837,19
1100072,Corumbiara (RO),0.668620555,2559,1711,848,0
1100080,Costa Marques (RO),0.000407277,7366,3,7363,0
1100098,Espigão D'Oeste (RO),0.024276045,19649,477,19108,64
1100106,Guajará-Mirim (RO),0.255376809,34686,8858,25825,3
1100114,Jaru (RO),0.219195372,38030,8336,29516,178
1100122,Ji-Paraná (RO),0.573931447,96860,55591,40952,317
1100130,Machadinho D'Oeste (RO),0.580168634,14825,8601,6218,6
1100148,Nova Brasilândia D'Oeste (RO),0.05495572,8243,453,7790,0
1100155,Ouro Preto do Oeste (RO),0.579699786,27980,16220,11760,0
1100189,Pimenta Bueno (RO),0.835684932,29200,24402,4769,29
1100205,Porto Velho (RO),0.399773754,387189,154788,231297,1104
1100254,Presidente Médici (RO),0.058890233,13228,779,12449,0
1100262,Rio Crespo (RO),0,1064,0,1064,0
1100288,Rolim de Moura (RO),0.421815259,41063,17321,23634,108
1100296,Santa Luzia D'Oeste (RO),0.262734584,2984,784,2200,0
1100304,Vilhena (RO),0.691349771,64322,44469,19627,226
1100320,São Miguel do Guaporé (RO),0.181244042,8392,1521,6699,172
1100338,Nova Mamoré (RO),0.031925774,13688,437,13174,77
1100346,Alvorada D'Oeste (RO),0.226292366,8763,1983,6780,0
1100379,Alto Alegre dos Parecis (RO),0.07800441,3628,283,3296,49
1100403,Alto Paraíso (RO),0.044255835,3299,146,3138,15
1100452,Buritis (RO),0.057758456,20932,1209,19700,23
1100502,Novo Horizonte do Oeste (RO),0.62015055,1727,1071,639,17
1100601,Cacaulândia (RO),0.003883495,2060,8,2046,6
1100700,Campo Novo de Rondônia (RO),0,3349,0,3349,0
1100809,Candeias do Jamari (RO),0.12919085,14645,1892,12605,148
1100908,Castanheiras (RO),0.013189448,834,11,823,0
1100924,Chupinguaia (RO),0.174299195,3603,628,2948,27
1100940,Cujubim (RO),0.000273523,10968,3,10959,6
1101005,Governador Jorge Teixeira (RO),0.429117148,2356,1011,1316,29
1101104,Itapuã do Oeste (RO),0,5139,0,4690,449
1101203,Ministro Andreazza (RO),0.075195313,3072,231,2841,0
1101302,Mirante da Serra (RO),0.163252638,6444,1052,5392,0
1101401,Monte Negro (RO),0.078118609,7335,573,4178,2584
1101435,Nova União (RO),0.00130039,1538,2,1536,0
1101450,Parecis (RO),0.008527572,1759,15,1744,0
1101468,Pimenteiras do Oeste (RO),0.000789889,1266,1,1265,0
1101476,Primavera de Rondônia (RO),0.012598425,1270,16,1245,9
1101484,São Felipe D'Oeste (RO),0.227715877,1436,327,891,218
1101492,São Francisco do Guaporé (RO),0.115351786,8201,946,7255,0
1101500,Seringueiras (RO),0.074749316,4388,328,3929,131
1101559,Teixeirópolis (RO),0.113700565,1416,161,1255,0
1101609,Theobroma (RO),0.259693878,1960,509,1451,0
1101708,Urupá (RO),0.135829087,5102,693,4409,0
1101757,Vale do Anari (RO),0.037907268,3192,121,3071,0
1101807,Vale do Paraíso (RO),0.271328056,2274,617,1657,0
1200013,Acrelândia (AC),0.402744832,5902,2377,3497,28
1200054,Assis Brasil (AC),0.854012599,3651,3118,533,0
1200104,Brasiléia (AC),0.802343352,13741,11025,2602,114
1200138,Bujari (AC),0.517362995,3686,1907,1442,337
1200179,Capixaba (AC),0.331870968,3875,1286,2589,0
1200203,Cruzeiro do Sul (AC),0.652677865,51851,33842,17473,536
1200252,Epitaciolândia (AC),0.792119173,10405,8242,2116,47
1200302,Feijó (AC),0.815565611,16575,13518,2998,59
1200328,Jordão (AC),0.642793988,2262,1454,808,0
1200336,Mâncio Lima (AC),0.507796377,8722,4429,4293,0
1200344,Manoel Urbano (AC),0,5254,0,5254,0
1200351,Marechal Thaumaturgo (AC),0,3953,0,3913,40
1200385,Plácido de Castro (AC),0.784290965,10338,8108,2143,87
1200393,Porto Walter (AC),0.000611808,3269,2,3267,0
1200401,Rio Branco (AC),0.758329163,295708,224244,69803,1661
1200427,Rodrigues Alves (AC),0.623548537,4306,2685,1609,12
1200435,Santa Rosa do Purus (AC),0.039957379,1877,75,1802,0
1200450,Senador Guiomard (AC),0.388813963,12605,4901,7692,12
1200500,Sena Madureira (AC),0.590760047,23788,14053,9715,20
1200609,Tarauacá (AC),0.670921167,17315,11617,5698,0
1200708,Xapuri (AC),0.73959785,10046,7430,2616,0
1200807,Porto Acre (AC),0.541961577,1978,1072,906,0
1300029,Alvarães (AM),0.973751274,7848,7642,132,74
1300060,Amaturá (AM),0.001437962,4868,7,4861,0
1300086,Anamã (AM),0.407086045,4149,1689,2460,0
1300102,Anori (AM),0.17191259,9976,1715,8213,48
1300144,Apuí (AM),0.039658444,10540,418,10094,28
1300201,Atalaia do Norte (AM),0,6838,0,6838,0
1300300,Autazes (AM),0.086124402,13794,1188,12445,161
1300409,Barcelos (AM),0.157141547,10901,1713,9184,4
1300508,Barreirinha (AM),0.344370294,11688,4025,7551,112
1300607,Benjamin Constant (AM),0.006596818,15462,102,15235,125
1300631,Beruri (AM),0.765114484,7774,5948,1826,0
1300680,Boa Vista do Ramos (AM),0.00735786,7475,55,7381,39
