UF,Codigo,Municipio,Rede,IDEB
RO,1100015,ALTA FLORESTA D OESTE,Estadual,3.3
RO,1100015,ALTA FLORESTA D OESTE,Municipal,-
RO,1100015,ALTA FLORESTA D OESTE,Pœblica,3.3
RO,1100023,ARIQUEMES,Estadual,3.9
RO,1100023,ARIQUEMES,Municipal,3.9
RO,1100023,ARIQUEMES,Pœblica,4
RO,1100031,CABIXI,Estadual,4
RO,1100031,CABIXI,Pœblica,4
RO,1100049,CACOAL,Estadual,3.9
RO,1100049,CACOAL,Municipal,4.7
RO,1100049,CACOAL,Pœblica,4.1
RO,1100056,CEREJEIRAS,Estadual,3.4
RO,1100056,CEREJEIRAS,Municipal,4.1
RO,1100056,CEREJEIRAS,Pœblica,3.6
RO,1100064,COLORADO DO OESTE,Estadual,3.5
RO,1100064,COLORADO DO OESTE,Pœblica,3.8
RO,1100072,CORUMBIARA,Estadual,4.1
RO,1100072,CORUMBIARA,Pœblica,4
RO,1100080,COSTA MARQUES,Estadual,3.6
RO,1100080,COSTA MARQUES,Pœblica,3.5
RO,1100098,ESPIGAO D OESTE,Estadual,4.4
RO,1100098,ESPIGAO D OESTE,Municipal,3.9
RO,1100098,ESPIGAO D OESTE,Pœblica,4.2
RO,1100106,GUAJARA-MIRIM,Estadual,3.6
RO,1100106,GUAJARA-MIRIM,Pœblica,3.6
RO,1100114,JARU,Estadual,4
RO,1100114,JARU,Municipal,3.7
RO,1100114,JARU,Pœblica,4
RO,1100122,JI-PARANA,Estadual,3.6
RO,1100122,JI-PARANA,Pœblica,3.7
RO,1100130,MACHADINHO D OESTE,Estadual,3.3
RO,1100130,MACHADINHO D OESTE,Municipal,3.5
RO,1100130,MACHADINHO D OESTE,Pœblica,3.4
RO,1100148,NOVA BRASILANDIA D OESTE,Estadual,4
RO,1100148,NOVA BRASILANDIA D OESTE,Municipal,3.7
RO,1100148,NOVA BRASILANDIA D OESTE,Pœblica,4.1
RO,1100155,OURO PRETO DO OESTE,Estadual,3.7
RO,1100155,OURO PRETO DO OESTE,Municipal,3.7
RO,1100155,OURO PRETO DO OESTE,Pœblica,3.7
RO,1100189,PIMENTA BUENO,Estadual,4
RO,1100189,PIMENTA BUENO,Pœblica,4
RO,1100205,PORTO VELHO,Estadual,3.1
RO,1100205,PORTO VELHO,Municipal,3.2
RO,1100205,PORTO VELHO,Pœblica,3.1
RO,1100254,PRESIDENTE MEDICI,Estadual,3.7
RO,1100254,PRESIDENTE MEDICI,Municipal,3.8
RO,1100254,PRESIDENTE MEDICI,Pœblica,3.8
RO,1100262,RIO CRESPO,Estadual,2.7
RO,1100262,RIO CRESPO,Pœblica,3
RO,1100288,ROLIM DE MOURA,Estadual,3.1
RO,1100288,ROLIM DE MOURA,Municipal,-
RO,1100288,ROLIM DE MOURA,Pœblica,3.1
RO,1100296,SANTA LUZIA D OESTE,Estadual,3.9
RO,1100296,SANTA LUZIA D OESTE,Municipal,-
RO,1100296,SANTA LUZIA D OESTE,Pœblica,3.9
RO,1100304,VILHENA,Estadual,4.1
RO,1100304,VILHENA,Municipal,4.6
RO,1100304,VILHENA,Pœblica,4.3
RO,1100320,SAO MIGUEL DO GUAPORE,Estadual,4.2
RO,1100320,SAO MIGUEL DO GUAPORE,Municipal,4.1
RO,1100320,SAO MIGUEL DO GUAPORE,Pœblica,4.1
RO,1100338,NOVA MAMORE,Estadual,2.8
RO,1100338,NOVA MAMORE,Municipal,3.6
RO,1100338,NOVA MAMORE,Pœblica,3.1
RO,1100346,ALVORADA D OESTE,Estadual,3.6
RO,1100346,ALVORADA D OESTE,Municipal,3.7
RO,1100346,ALVORADA D OESTE,Pœblica,3.7
RO,1100379,ALTO ALEGRE DOS PARECIS,Estadual,2.9
RO,1100379,ALTO ALEGRE DOS PARECIS,Municipal,3.8
RO,1100379,ALTO ALEGRE DOS PARECIS,Pœblica,3.6
RO,1100403,ALTO PARAISO,Estadual,3.5
RO,1100403,ALTO PARAISO,Municipal,3.8
RO,1100403,ALTO PARAISO,Pœblica,3.7
RO,1100452,BURITIS,Estadual,3.7
RO,1100452,BURITIS,Pœblica,3.7
RO,1100502,NOVO HORIZONTE DO OESTE,Estadual,3.4
RO,1100502,NOVO HORIZONTE DO OESTE,Municipal,-
RO,1100502,NOVO HORIZONTE DO OESTE,Pœblica,3.5
